#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_1_pilon:1080085-1080594|- -            170 22970                -            165   6.9e-64  212.3   0.5   1   1   2.5e-66   7.7e-64  212.1   0.5     1   165     1   166     1   166 0.98 contig_1_pilon_1034 # 1080085 # 1080594 # -1 # ID=1_1034;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.378
contig_1_pilon:611797-612477|+   -            227 22970                -            165   2.4e-05   21.9   0.6   1   2   0.00022     0.065   10.7   0.0     8    37    10    39     3    58 0.78 contig_1_pilon_575 # 611797 # 612477 # 1 # ID=1_575;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.405
contig_1_pilon:611797-612477|+   -            227 22970                -            165   2.4e-05   21.9   0.6   2   2   0.00048      0.15    9.6   0.2    68   161   112   214   102   218 0.74 contig_1_pilon_575 # 611797 # 612477 # 1 # ID=1_575;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.405
contig_2_pilon:528638-529345|+   -            236 22970                -            165   0.00029   18.4   0.6   1   2   0.00012     0.035   11.6   0.0     4    28     2    26     1    36 0.91 contig_2_pilon_496 # 528638 # 529345 # 1 # ID=5_496;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.384
contig_2_pilon:528638-529345|+   -            236 22970                -            165   0.00029   18.4   0.6   2   2     0.013       3.9    4.9   0.2    93   142   124   170   112   207 0.67 contig_2_pilon_496 # 528638 # 529345 # 1 # ID=5_496;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.384
contig_2_pilon:1357055-1357594|+ -            180 22970                -            165    0.0014   16.1   0.5   1   2   1.6e-05    0.0049   14.4   0.0     3    45     2    43     1    57 0.79 contig_2_pilon_1296 # 1357055 # 1357594 # 1 # ID=5_1296;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.367
contig_2_pilon:1357055-1357594|+ -            180 22970                -            165    0.0014   16.1   0.5   2   2      0.77   2.3e+02   -0.9   0.1    92   128    79   113    69   148 0.57 contig_2_pilon_1296 # 1357055 # 1357594 # 1 # ID=5_1296;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.367
contig_1_pilon:1113422-1114672|- -            417 22970                -            165    0.0025   15.3   0.0   1   2       5.2   1.6e+03   -3.5   0.0   113   132     8    27     6    28 0.83 contig_1_pilon_1061 # 1113422 # 1114672 # -1 # ID=1_1061;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.396
contig_1_pilon:1113422-1114672|- -            417 22970                -            165    0.0025   15.3   0.0   2   2   3.1e-05    0.0095   13.4   0.0     3    35   113   145   111   157 0.86 contig_1_pilon_1061 # 1113422 # 1114672 # -1 # ID=1_1061;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.396
contig_2_pilon:361624-362277|+   -            218 22970                -            165    0.0026   15.2   0.1   1   2   0.00049      0.15    9.5   0.0     4    29     2    27     1    45 0.88 contig_2_pilon_334 # 361624 # 362277 # 1 # ID=5_334;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.370
contig_2_pilon:361624-362277|+   -            218 22970                -            165    0.0026   15.2   0.1   2   2     0.037        11    3.4   0.1    95   150   126   185   119   203 0.76 contig_2_pilon_334 # 361624 # 362277 # 1 # ID=5_334;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.370
