#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_2_pilon:1236899-1238212|+ -            438 23615                -            403  5.4e-168  556.1   1.8   1   1  1.3e-170  6.6e-168  555.8   1.8    14   402    27   432    16   433 0.92 contig_2_pilon_1191 # 1236899 # 1238212 # 1 # ID=5_1191;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.393
contig_2_pilon:225207-227243|+   -            679 23615                -            403     3e-15   53.1   0.1   1   1   1.2e-17   6.3e-15   52.0   0.1    66   372   241   571   228   581 0.80 contig_2_pilon_207 # 225207 # 227243 # 1 # ID=5_207;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=11-12bp;gc_cont=0.417
contig_1_pilon:83723-86131|+     -            803 23615                -            403   1.1e-12   44.6   3.2   1   3       1.3   6.7e+02   -4.1   0.1   252   278   192   218   177   222 0.74 contig_1_pilon_89 # 83723 # 86131 # 1 # ID=1_89;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.409
contig_1_pilon:83723-86131|+     -            803 23615                -            403   1.1e-12   44.6   3.2   2   3   1.8e-12   9.3e-10   35.0   0.1    77   243   263   450   248   497 0.68 contig_1_pilon_89 # 83723 # 86131 # 1 # ID=1_89;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.409
contig_1_pilon:83723-86131|+     -            803 23615                -            403   1.1e-12   44.6   3.2   3   3   7.6e-05     0.039    9.9   0.0   314   394   594   683   563   690 0.72 contig_1_pilon_89 # 83723 # 86131 # 1 # ID=1_89;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.409
contig_1_pilon:104311-107832|+   -           1174 23615                -            403   1.6e-12   44.1   0.2   1   2      0.23   1.2e+02   -1.6   0.0    98   155    27    81    12    91 0.62 contig_1_pilon_107 # 104311 # 107832 # 1 # ID=1_107;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.415
contig_1_pilon:104311-107832|+   -           1174 23615                -            403   1.6e-12   44.1   0.2   2   2   1.9e-14   9.7e-12   41.5   0.1    84   385   631   940   598   960 0.75 contig_1_pilon_107 # 104311 # 107832 # 1 # ID=1_107;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.415
contig_1_pilon:1144892-1146886|- -            665 23615                -            403   1.2e-11   41.2   0.1   1   2     0.021        11    1.8   0.0    95   150    37    89     2   107 0.67 contig_1_pilon_1087 # 1144892 # 1146886 # -1 # ID=1_1087;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.408
contig_1_pilon:1144892-1146886|- -            665 23615                -            403   1.2e-11   41.2   0.1   2   2   5.3e-13   2.7e-10   36.8   0.1   214   397   393   573   383   579 0.72 contig_1_pilon_1087 # 1144892 # 1146886 # -1 # ID=1_1087;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.408
contig_1_pilon:844297-845646|+   -            450 23615                -            403    0.0051   12.8   2.3   1   2   1.6e-05    0.0082   12.1   0.2   258   347   226   316    22   338 0.79 contig_1_pilon_800 # 844297 # 845646 # 1 # ID=1_800;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.380
contig_1_pilon:844297-845646|+   -            450 23615                -            403    0.0051   12.8   2.3   2   2         1   5.3e+02   -3.7   0.2   285   320   399   434   396   438 0.81 contig_1_pilon_800 # 844297 # 845646 # 1 # ID=1_800;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.380
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/23615at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/flye_pacbio_pilon_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/flye_pacbio_pilon_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/23615at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/23615at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/flye_pacbio_pilon_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 00:56:03 2026
# [ok]
