#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_1_pilon:425476-426543|+   -            356 21546                -            358  7.3e-190  627.7  12.8   1   1  1.4e-192  8.2e-190  627.5  12.8     1   354     1   354     1   355 1.00 contig_1_pilon_406 # 425476 # 426543 # 1 # ID=1_406;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.377
contig_1_pilon:292127-293206|-   -            360 21546                -            358   1.9e-09   34.2   3.7   1   2      0.79   4.8e+02   -3.3   2.6    14    54    30    70    19   101 0.67 contig_1_pilon_246 # 292127 # 293206 # -1 # ID=1_246;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.402
contig_1_pilon:292127-293206|-   -            360 21546                -            358   1.9e-09   34.2   3.7   2   2   3.1e-12   1.9e-09   34.2   3.7   128   340   145   345   119   354 0.76 contig_1_pilon_246 # 292127 # 293206 # -1 # ID=1_246;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.402
contig_1_pilon:1077453-1079189|+ -            579 21546                -            358   1.9e-07   27.6  10.0   1   3     0.034        20    1.2   0.6    36   118     8    91     2   125 0.55 contig_1_pilon_1032 # 1077453 # 1079189 # 1 # ID=1_1032;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.378
contig_1_pilon:1077453-1079189|+ -            579 21546                -            358   1.9e-07   27.6  10.0   2   3    0.0039       2.3    4.3   0.7    49   140   288   384   272   392 0.67 contig_1_pilon_1032 # 1077453 # 1079189 # 1 # ID=1_1032;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.378
contig_1_pilon:1077453-1079189|+ -            579 21546                -            358   1.9e-07   27.6  10.0   3   3   6.1e-10   3.7e-07   26.7   0.1   268   356   473   573   428   575 0.70 contig_1_pilon_1032 # 1077453 # 1079189 # 1 # ID=1_1032;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.378
contig_2_pilon:114894-116102|+   -            403 21546                -            358   5.7e-06   22.8   1.9   1   2   0.00017      0.11    8.8   0.1    34   100    63   130    28   176 0.68 contig_2_pilon_91 # 114894 # 116102 # 1 # ID=5_91;partial=00;start_type=TTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.391
contig_2_pilon:114894-116102|+   -            403 21546                -            358   5.7e-06   22.8   1.9   2   2   7.6e-06    0.0046   13.2   0.2   221   304   233   321   207   331 0.83 contig_2_pilon_91 # 114894 # 116102 # 1 # ID=5_91;partial=00;start_type=TTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.391
contig_1_pilon:810697-811131|+   -            145 21546                -            358   0.00029   17.2   1.8   1   1   5.5e-07   0.00033   17.0   1.8    19   120     8   108     2   139 0.66 contig_1_pilon_768 # 810697 # 811131 # 1 # ID=1_768;partial=00;start_type=TTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.382
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/21546at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/flye_pacbio_pilon_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/flye_pacbio_pilon_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/21546at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/21546at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/flye_pacbio_pilon_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 00:55:54 2026
# [ok]
