#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_2_pilon:1290828-1291256|+ -            143 19279                -            138   1.5e-80  265.4  10.2   1   1   7.3e-83   1.7e-80  265.2  10.2     2   138     3   142     2   142 0.97 contig_2_pilon_1236 # 1290828 # 1291256 # 1 # ID=5_1236;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.357
contig_1_pilon:821405-821851|+   -            149 19279                -            138   4.4e-27   92.2   1.5   1   1   2.1e-29   4.9e-27   92.0   1.5     2   138     2   140     1   140 0.93 contig_1_pilon_778 # 821405 # 821851 # 1 # ID=1_778;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.374
contig_1_pilon:599018-599485|+   -            156 19279                -            138   3.4e-18   63.4   3.3   1   1   1.7e-20   4.1e-18   63.2   3.3     4   137     5   145     2   146 0.85 contig_1_pilon_560 # 599018 # 599485 # 1 # ID=1_560;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.378
contig_11_pilon:168059-168343|+  -             95 19279                -            138     0.017   12.5   0.2   1   1   7.4e-05     0.017   12.5   0.2    36    69    23    57     2    83 0.81 contig_11_pilon_159 # 168059 # 168343 # 1 # ID=3_159;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.344
contig_11_pilon:15418-16098|+    -            227 19279                -            138     0.018   12.5   2.1   1   2   0.00031     0.073   10.5   0.3    36    69    23    57     3    92 0.85 contig_11_pilon_16 # 15418 # 16098 # 1 # ID=3_16;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.372
contig_11_pilon:15418-16098|+    -            227 19279                -            138     0.018   12.5   2.1   2   2      0.18        42    1.6   0.1     4    33   136   167   133   212 0.72 contig_11_pilon_16 # 15418 # 16098 # 1 # ID=3_16;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.372
contig_11_pilon:42309-42989|-    -            227 19279                -            138     0.025   12.0   1.6   1   2   0.00059      0.14    9.6   0.2    36    69    23    57     3    76 0.83 contig_11_pilon_46 # 42309 # 42989 # -1 # ID=3_46;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.377
contig_11_pilon:42309-42989|-    -            227 19279                -            138     0.025   12.0   1.6   2   2      0.18        42    1.6   0.1     4    33   136   167   133   212 0.72 contig_11_pilon_46 # 42309 # 42989 # -1 # ID=3_46;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.377
contig_10_pilon:12585-13265|-    -            227 19279                -            138     0.028   11.9   1.9   1   2   0.00055      0.13    9.7   0.3    36    69    23    57     3    92 0.85 contig_10_pilon_17 # 12585 # 13265 # -1 # ID=2_17;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
contig_10_pilon:12585-13265|-    -            227 19279                -            138     0.028   11.9   1.9   2   2      0.18        42    1.6   0.1     4    33   136   167   133   212 0.72 contig_10_pilon_17 # 12585 # 13265 # -1 # ID=2_17;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
contig_10_pilon:17550-18230|-    -            227 19279                -            138     0.028   11.9   1.9   1   2   0.00055      0.13    9.7   0.3    36    69    23    57     3    92 0.85 contig_10_pilon_23 # 17550 # 18230 # -1 # ID=2_23;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
contig_10_pilon:17550-18230|-    -            227 19279                -            138     0.028   11.9   1.9   2   2      0.18        42    1.6   0.1     4    33   136   167   133   212 0.72 contig_10_pilon_23 # 17550 # 18230 # -1 # ID=2_23;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
contig_10_pilon:22535-23215|-    -            227 19279                -            138     0.028   11.9   1.9   1   2   0.00055      0.13    9.7   0.3    36    69    23    57     3    92 0.85 contig_10_pilon_30 # 22535 # 23215 # -1 # ID=2_30;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
contig_10_pilon:22535-23215|-    -            227 19279                -            138     0.028   11.9   1.9   2   2      0.18        42    1.6   0.1     4    33   136   167   133   212 0.72 contig_10_pilon_30 # 22535 # 23215 # -1 # ID=2_30;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
contig_10_pilon:25280-25960|-    -            227 19279                -            138     0.028   11.9   1.9   1   2   0.00055      0.13    9.7   0.3    36    69    23    57     3    92 0.85 contig_10_pilon_33 # 25280 # 25960 # -1 # ID=2_33;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
contig_10_pilon:25280-25960|-    -            227 19279                -            138     0.028   11.9   1.9   2   2      0.18        42    1.6   0.1     4    33   136   167   133   212 0.72 contig_10_pilon_33 # 25280 # 25960 # -1 # ID=2_33;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
contig_10_pilon:6872-7552|+      -            227 19279                -            138     0.028   11.9   1.9   1   2   0.00055      0.13    9.7   0.3    36    69    23    57     3    92 0.85 contig_10_pilon_11 # 6872 # 7552 # 1 # ID=2_11;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
contig_10_pilon:6872-7552|+      -            227 19279                -            138     0.028   11.9   1.9   2   2      0.18        42    1.6   0.1     4    33   136   167   133   212 0.72 contig_10_pilon_11 # 6872 # 7552 # 1 # ID=2_11;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
contig_8_pilon:5739-6419|-       -            227 19279                -            138     0.028   11.9   1.9   1   2   0.00055      0.13    9.7   0.3    36    69    23    57     3    92 0.85 contig_8_pilon_8 # 5739 # 6419 # -1 # ID=10_8;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
contig_8_pilon:5739-6419|-       -            227 19279                -            138     0.028   11.9   1.9   2   2      0.18        42    1.6   0.1     4    33   136   167   133   212 0.72 contig_8_pilon_8 # 5739 # 6419 # -1 # ID=10_8;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
contig_10_pilon:1439-2119|+      -            227 19279                -            138      0.03   11.8   2.2   1   2   0.00051      0.12    9.8   0.4    36    69    23    57     3    92 0.85 contig_10_pilon_3 # 1439 # 2119 # 1 # ID=2_3;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.372
contig_10_pilon:1439-2119|+      -            227 19279                -            138      0.03   11.8   2.2   2   2      0.18        42    1.6   0.1     4    33   136   167   133   212 0.72 contig_10_pilon_3 # 1439 # 2119 # 1 # ID=2_3;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.372
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19279at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/flye_pacbio_pilon_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/flye_pacbio_pilon_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/19279at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19279at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/flye_pacbio_pilon_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 00:55:43 2026
# [ok]
