#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_1_pilon:505771-507276|+   -            502 21416                -            488    2e-290  961.0  13.1   1   1  8.5e-293  2.3e-290  960.8  13.1     2   487     7   495     6   496 0.99 contig_1_pilon_482 # 505771 # 507276 # 1 # ID=1_482;partial=00;start_type=GTG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.365
contig_1_pilon:331157-332992|+   -            612 21416                -            488   3.1e-49  165.5  13.4   1   3   5.1e-08   1.4e-05   21.5   3.3   109   261   101   251     8   269 0.74 contig_1_pilon_288 # 331157 # 332992 # 1 # ID=1_288;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.402
contig_1_pilon:331157-332992|+   -            612 21416                -            488   3.1e-49  165.5  13.4   2   3      0.38     1e+02   -1.1   0.2    43   115   274   346   267   376 0.88 contig_1_pilon_288 # 331157 # 332992 # 1 # ID=1_288;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.402
contig_1_pilon:331157-332992|+   -            612 21416                -            488   3.1e-49  165.5  13.4   3   3   5.8e-47   1.6e-44  150.0   0.4   263   486   376   601   355   603 0.91 contig_1_pilon_288 # 331157 # 332992 # 1 # ID=1_288;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.402
contig_1_pilon:910410-911750|+   -            447 21416                -            488   1.7e-43  146.6   7.3   1   2   4.9e-05     0.013   11.7   0.8   131   216   123   214    73   218 0.74 contig_1_pilon_861 # 910410 # 911750 # 1 # ID=1_861;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.364
contig_1_pilon:910410-911750|+   -            447 21416                -            488   1.7e-43  146.6   7.3   2   2   1.6e-43   4.3e-41  138.7   1.1   265   487   220   442   215   443 0.92 contig_1_pilon_861 # 910410 # 911750 # 1 # ID=1_861;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.364
contig_2_pilon:1390796-1392532|- -            579 21416                -            488   5.3e-41  138.4   1.1   1   3       1.2   3.2e+02   -2.7   0.3   106   143    72   107    33   115 0.53 contig_2_pilon_1328 # 1390796 # 1392532 # -1 # ID=5_1328;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.408
contig_2_pilon:1390796-1392532|- -            579 21416                -            488   5.3e-41  138.4   1.1   2   3     0.082        23    1.1   0.1   199   271   177   249   166   273 0.67 contig_2_pilon_1328 # 1390796 # 1392532 # -1 # ID=5_1328;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.408
contig_2_pilon:1390796-1392532|- -            579 21416                -            488   5.3e-41  138.4   1.1   3   3   1.9e-43   5.3e-41  138.4   1.1   256   486   350   576   343   578 0.94 contig_2_pilon_1328 # 1390796 # 1392532 # -1 # ID=5_1328;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.408
contig_1_pilon:1284325-1285773|- -            483 21416                -            488   1.2e-36  124.0   4.3   1   1   6.6e-39   1.8e-36  123.4   4.3   195   486   180   475   162   477 0.84 contig_1_pilon_1240 # 1284325 # 1285773 # -1 # ID=1_1240;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.369
contig_2_pilon:498305-499348|+   -            348 21416                -            488   1.1e-33  114.2   3.4   1   1   5.4e-36   1.5e-33  113.8   3.4   189   483    53   342    40   346 0.92 contig_2_pilon_468 # 498305 # 499348 # 1 # ID=5_468;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.385
