#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_6_length_183174_cov_88.861183:141250-142317|- -            356 21546                -            358  7.5e-190  627.7  12.8   1   1  1.4e-192  8.3e-190  627.5  12.8     1   354     1   354     1   355 1.00 NODE_6_length_183174_cov_88.861183_132 # 141250 # 142317 # -1 # ID=6_132;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_4_length_193524_cov_77.069373:113049-114128|- -            360 21546                -            358   1.9e-09   34.2   3.7   1   2      0.79   4.9e+02   -3.3   2.6    14    54    30    70    19   101 0.67 NODE_4_length_193524_cov_77.069373_92 # 113049 # 114128 # -1 # ID=4_92;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.402
NODE_4_length_193524_cov_77.069373:113049-114128|- -            360 21546                -            358   1.9e-09   34.2   3.7   2   2   3.1e-12   1.9e-09   34.2   3.7   128   340   145   345   119   354 0.76 NODE_4_length_193524_cov_77.069373_92 # 113049 # 114128 # -1 # ID=4_92;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.402
NODE_1_length_385945_cov_86.278628:301943-303679|- -            579 21546                -            358     2e-07   27.6  10.0   1   3     0.034        21    1.2   0.6    36   118     8    91     2   125 0.55 NODE_1_length_385945_cov_86.278628_302 # 301943 # 303679 # -1 # ID=1_302;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.378
NODE_1_length_385945_cov_86.278628:301943-303679|- -            579 21546                -            358     2e-07   27.6  10.0   2   3    0.0039       2.4    4.3   0.7    49   140   288   384   272   392 0.67 NODE_1_length_385945_cov_86.278628_302 # 301943 # 303679 # -1 # ID=1_302;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.378
NODE_1_length_385945_cov_86.278628:301943-303679|- -            579 21546                -            358     2e-07   27.6  10.0   3   3   6.1e-10   3.8e-07   26.7   0.1   268   356   473   573   428   575 0.70 NODE_1_length_385945_cov_86.278628_302 # 301943 # 303679 # -1 # ID=1_302;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.378
NODE_31_length_17573_cov_156.005131:1616-2824|-    -            403 21546                -            358   5.8e-06   22.8   1.9   1   2   0.00017      0.11    8.8   0.1    34   100    63   130    28   176 0.68 NODE_31_length_17573_cov_156.005131_2 # 1616 # 2824 # -1 # ID=31_2;partial=00;start_type=TTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.390
NODE_31_length_17573_cov_156.005131:1616-2824|-    -            403 21546                -            358   5.8e-06   22.8   1.9   2   2   7.6e-06    0.0047   13.2   0.2   221   304   233   321   207   331 0.83 NODE_31_length_17573_cov_156.005131_2 # 1616 # 2824 # -1 # ID=31_2;partial=00;start_type=TTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.390
NODE_2_length_304403_cov_65.784473:120197-120631|+ -            145 21546                -            358   0.00029   17.2   1.8   1   1   5.5e-07   0.00034   17.0   1.8    19   120     8   108     2   139 0.66 NODE_2_length_304403_cov_65.784473_114 # 120197 # 120631 # 1 # ID=2_114;partial=00;start_type=TTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.382
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/21546at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_pacbio_illumina_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_pacbio_illumina_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/21546at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/21546at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_pacbio_illumina_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:10:54 2026
# [ok]
