#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:1611919-1613232|+ -            438 9809356              -            390  2.3e-131  435.7   0.0   1   1  5.2e-134  2.7e-131  435.5   0.0     3   386     1   428     1   431 0.92 tig00000001_1541 # 1611919 # 1613232 # 1 # ID=1_1541;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.381
tig00000001:353381-354886|+   -            502 9809356              -            390   1.4e-21   74.3   0.1   1   2   5.7e-06     0.003   14.0   0.1    28    64   103   139    80   152 0.86 tig00000001_350 # 353381 # 354886 # 1 # ID=1_350;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.386
tig00000001:353381-354886|+   -            502 9809356              -            390   1.4e-21   74.3   0.1   2   2   2.1e-19   1.1e-16   58.2   0.0   154   374   211   472   203   473 0.72 tig00000001_350 # 353381 # 354886 # 1 # ID=1_350;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.386
tig00000001:832557-833969|+   -            471 9809356              -            390   9.8e-17   58.4   0.2   1   2   6.4e-06    0.0034   13.8   0.0    21    63   104   145    90   151 0.83 tig00000001_782 # 832557 # 833969 # 1 # ID=1_782;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.418
tig00000001:832557-833969|+   -            471 9809356              -            390   9.8e-17   58.4   0.2   2   2   1.2e-14   6.4e-12   42.5   0.1   127   376   172   455   163   469 0.71 tig00000001_782 # 832557 # 833969 # 1 # ID=1_782;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.418
tig00000001:1369299-1370660|+ -            454 9809356              -            390   3.9e-12   43.2   0.9   1   2   4.1e-06    0.0021   14.5   0.2    36    62   110   136    88   142 0.81 tig00000001_1293 # 1369299 # 1370660 # 1 # ID=1_1293;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.380
tig00000001:1369299-1370660|+ -            454 9809356              -            390   3.9e-12   43.2   0.9   2   2   4.6e-10   2.4e-07   27.5   0.0   147   370   182   423   177   426 0.68 tig00000001_1293 # 1369299 # 1370660 # 1 # ID=1_1293;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.380
tig00000001:2226635-2227969|+ -            445 9809356              -            390   1.2e-11   41.7   0.1   1   2   7.7e-06     0.004   13.6   0.0    17    61    85   128    68   133 0.82 tig00000001_2152 # 2226635 # 2227969 # 1 # ID=1_2152;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.383
tig00000001:2226635-2227969|+ -            445 9809356              -            390   1.2e-11   41.7   0.1   2   2   1.9e-09     1e-06   25.4   0.0   147   311   166   347   164   422 0.65 tig00000001_2152 # 2226635 # 2227969 # 1 # ID=1_2152;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.383
tig00000001:1488474-1489826|- -            451 9809356              -            390   1.7e-08   31.2   0.0   1   3   7.5e-07   0.00039   16.9   0.0    27    63    41    74    14    80 0.82 tig00000001_1428 # 1488474 # 1489826 # -1 # ID=1_1428;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.379
tig00000001:1488474-1489826|- -            451 9809356              -            390   1.7e-08   31.2   0.0   2   3      0.19        97   -0.9   0.0   141   166   119   144   101   171 0.83 tig00000001_1428 # 1488474 # 1489826 # -1 # ID=1_1428;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.379
tig00000001:1488474-1489826|- -            451 9809356              -            390   1.7e-08   31.2   0.0   3   3   5.1e-05     0.026   10.9   0.0   223   298   259   335   217   352 0.78 tig00000001_1428 # 1488474 # 1489826 # -1 # ID=1_1428;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.379
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/bacteria_odb12/hmms/9809356at2.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/auto_lineage/run_bacteria_odb12/hmmer_output/9809356at2.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/bacteria_odb12/hmms/9809356at2.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 22 11:36:14 2026
# [ok]
