#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP014529.1:47684-49246|+     -            521 18543                -            520         0 1065.2  18.8   1   1         0         0 1065.1  18.8     1   518     1   518     1   520 0.99 NZ_CP014529.1_43 # 47684 # 49246 # 1 # ID=1_43;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
NZ_CP014529.1:1912912-1914438|- -            509 18543                -            520  4.7e-106  352.8   8.5   1   1  1.4e-107  5.5e-106  352.6   8.5     6   501     4   503     1   507 0.95 NZ_CP014529.1_1869 # 1912912 # 1914438 # -1 # ID=1_1869;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
NZ_CP014529.1:1845967-1846704|- -            246 18543                -            520   6.8e-39  131.2   0.9   1   1     2e-40   7.9e-39  131.0   0.9     7   229     3   225     1   234 0.92 NZ_CP014529.1_1807 # 1845967 # 1846704 # -1 # ID=1_1807;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.396
NZ_CP014529.1:1488005-1488742|- -            246 18543                -            520   8.9e-39  130.8   1.1   1   1   2.6e-40     1e-38  130.6   1.1     9   222     6   218     1   226 0.92 NZ_CP014529.1_1464 # 1488005 # 1488742 # -1 # ID=1_1464;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.393
NZ_CP014529.1:508786-509829|+   -            348 18543                -            520   1.3e-37  126.9   1.2   1   1   5.2e-39   2.1e-37  126.3   1.2     7   233     6   236     2   253 0.89 NZ_CP014529.1_491 # 508786 # 509829 # 1 # ID=1_491;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.423
NZ_CP014529.1:156564-157304|-   -            247 18543                -            520   6.4e-36  121.4   1.2   1   1   1.9e-37   7.5e-36  121.2   1.2     5   219     3   216     1   227 0.90 NZ_CP014529.1_159 # 156564 # 157304 # -1 # ID=1_159;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.372
NZ_CP014529.1:571947-573020|+   -            358 18543                -            520   6.8e-34  114.7   1.4   1   1   2.2e-35   8.7e-34  114.3   1.4     8   223     2   221     1   236 0.89 NZ_CP014529.1_549 # 571947 # 573020 # 1 # ID=1_549;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.384
NZ_CP014529.1:1970794-1971486|- -            231 18543                -            520   8.2e-32  107.8   0.1   1   1   2.4e-33   9.6e-32  107.6   0.1     7   226     4   222     1   229 0.90 NZ_CP014529.1_1927 # 1970794 # 1971486 # -1 # ID=1_1927;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.395
NZ_CP014529.1:2313005-2314198|- -            398 18543                -            520   1.6e-30  103.5   0.7   1   2   6.5e-32   2.6e-30  102.9   0.1    12   223    32   244    23   260 0.85 NZ_CP014529.1_2276 # 2313005 # 2314198 # -1 # ID=1_2276;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.415
NZ_CP014529.1:2313005-2314198|- -            398 18543                -            520   1.6e-30  103.5   0.7   2   2       4.6   1.8e+02   -2.2   0.0   447   486   335   378   247   383 0.55 NZ_CP014529.1_2276 # 2313005 # 2314198 # -1 # ID=1_2276;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.415
NZ_CP014529.1:201222-202397|-   -            392 18543                -            520   1.8e-30  103.4   3.1   1   2   4.6e-32   1.8e-30  103.4   3.1     8   264     2   260     1   285 0.84 NZ_CP014529.1_202 # 201222 # 202397 # -1 # ID=1_202;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.416
