#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP014529.1:1102767-1103474|+ -            236 17381                -            234  9.1e-143  471.4   0.8   1   1  3.9e-145    1e-142  471.2   0.8     1   234     1   235     1   235 0.99 NZ_CP014529.1_1081 # 1102767 # 1103474 # 1 # ID=1_1081;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.395
NZ_CP014530.1:68202-68936|-     -            245 17381                -            234   7.9e-32  108.3   0.1   1   1   3.5e-34   9.1e-32  108.1   0.1     6   230     9   235     4   239 0.92 NZ_CP014530.1_72 # 68202 # 68936 # -1 # ID=2_72;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.390
NZ_CP014529.1:2076694-2077413|+ -            240 17381                -            234   6.4e-29   98.8   0.0   1   1     3e-31   7.7e-29   98.5   0.0     5   221     1   222     1   230 0.91 NZ_CP014529.1_2025 # 2076694 # 2077413 # 1 # ID=1_2025;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.394
NZ_CP014529.1:554490-555191|+   -            234 17381                -            234   3.9e-26   89.7   0.7   1   1   1.9e-28   4.9e-26   89.4   0.7     6   225     6   222     1   230 0.89 NZ_CP014529.1_532 # 554490 # 555191 # 1 # ID=1_532;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.387
NZ_CP014530.1:168269-169003|+   -            245 17381                -            234     1e-21   75.2   0.3   1   1     5e-24   1.3e-21   74.9   0.3    13   219     8   215     4   227 0.92 NZ_CP014530.1_166 # 168269 # 169003 # 1 # ID=2_166;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.350
NZ_CP014529.1:146496-147209|+   -            238 17381                -            234   4.2e-15   53.6   0.2   1   1   2.1e-17   5.4e-15   53.2   0.2    13   230     9   228     3   231 0.88 NZ_CP014529.1_148 # 146496 # 147209 # 1 # ID=1_148;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.392
NZ_CP014529.1:806131-807210|+   -            360 17381                -            234   5.7e-14   49.9   0.2   1   1   3.9e-16     1e-13   49.1   0.2     8    78     4    74     1    89 0.92 NZ_CP014529.1_798 # 806131 # 807210 # 1 # ID=1_798;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.379
NZ_CP014530.1:168987-169685|+   -            233 17381                -            234     1e-12   45.8   0.0   1   1   6.8e-15   1.8e-12   45.0   0.0    11    92    12    94     6   200 0.83 NZ_CP014530.1_167 # 168987 # 169685 # 1 # ID=2_167;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.403
NZ_CP014529.1:1908783-1910207|- -            475 17381                -            234   1.1e-11   42.4   0.0   1   1   7.9e-14     2e-11   41.5   0.0     4    72     9    77     6    84 0.95 NZ_CP014529.1_1866 # 1908783 # 1910207 # -1 # ID=1_1866;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.388
NZ_CP014529.1:2314385-2315029|- -            215 17381                -            234   1.3e-11   42.2   0.1   1   1   8.9e-14   2.3e-11   41.4   0.1     6    74    10    78     6   110 0.87 NZ_CP014529.1_2277 # 2314385 # 2315029 # -1 # ID=1_2277;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.422
NZ_CP014529.1:2455077-2456123|+ -            349 17381                -            234   8.2e-09   33.0   0.0   1   1   4.6e-11   1.2e-08   32.5   0.0     5    73     3    71     1    88 0.92 NZ_CP014529.1_2398 # 2455077 # 2456123 # 1 # ID=1_2398;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.390
NZ_CP014529.1:1059930-1061324|- -            465 17381                -            234   5.4e-07   27.1   0.0   1   1   4.9e-09   1.3e-06   25.8   0.0     6    98    23   115    19   136 0.82 NZ_CP014529.1_1034 # 1059930 # 1061324 # -1 # ID=1_1034;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.343
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/17381at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/reference_e745_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/reference_e745_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/17381at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/17381at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/reference_e745_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 12:22:02 2026
# [ok]
