ID or #		Start	End	Type	Contig
==================================================
NZ_CP014529.1:1..2765010		1	2765010	partial	contig_29:105059-50730,contig_40:99337-53364,contig_34:16486-16597,contig_2:136470-290713,contig_66:69734-90307
gene-EfmE745_RS00005		1	1335	complete	contig_29:105059-103725
gene-EfmE745_RS00010		1533	2663	complete	contig_29:103527-102397
gene-EfmE745_RS00015		2892	3134	complete	contig_29:102168-101926
gene-EfmE745_RS00020		3121	4245	complete	contig_29:101939-100815
gene-EfmE745_RS00025		4242	6188	complete	contig_29:100818-98872
gene-EfmE745_RS00030		6208	8679	complete	contig_29:98852-96381
gene-EfmE745_RS00035		8915	9214	complete	contig_29:96145-95846
gene-EfmE745_RS00040		9264	9776	complete	contig_29:95796-95284
gene-EfmE745_RS00045		9802	10038	complete	contig_29:95258-95022
gene-EfmE745_RS00050		10181	12154	complete	contig_29:94879-92906
gene-EfmE745_RS00055		12160	12612	complete	contig_29:92900-92448
gene-EfmE745_RS00060		12886	14253	complete	contig_29:92174-90807
gene-EfmE745_RS00065		15033	16325	complete	contig_29:90027-88735
gene-EfmE745_RS00070		17112	17975	complete	contig_29:87948-87085
gene-EfmE745_RS00075		18104	19726	complete	contig_29:86956-85334
gene-EfmE745_RS00080		19975	20496	complete	contig_29:85085-84564
gene-EfmE745_RS00085		20682	22412	complete	contig_29:84378-82648
gene-EfmE745_RS00090		22577	23395	complete	contig_29:82483-81665
gene-EfmE745_RS00095		23498	23695	complete	contig_29:81562-81365
gene-EfmE745_RS00100		23864	24442	complete	contig_29:81196-80618
gene-EfmE745_RS16835		24537	24674	complete	contig_29:80523-80386
cds-WP_002294338.1		24537	24674	complete	contig_29:80523-80386
gene-EfmE745_RS00110		25487	25990	complete	contig_29:79573-79070
gene-EfmE745_RS00115		26349	27374	complete	contig_29:78711-77686
gene-EfmE745_RS00120		27697	28575	complete	contig_29:77363-76485
gene-EfmE745_RS16710		29051	29167	complete	contig_29:76009-75893
gene-EfmE745_RS00125		30095	30433	complete	contig_29:74965-74627
gene-EfmE745_RS00130		30527	30757	complete	contig_29:74533-74303
gene-EfmE745_RS00135		31157	31528	complete	contig_29:73903-73532
gene-EfmE745_RS00140		31802	32494	complete	contig_29:73258-72566
gene-EfmE745_RS00145		32497	33282	complete	contig_29:72563-71778
gene-EfmE745_RS00150		33519	34919	complete	contig_29:71541-70141
gene-EfmE745_RS00155		34944	35261	complete	contig_29:70116-69799
gene-EfmE745_RS00160		35274	36947	complete	contig_29:69786-68113
gene-EfmE745_RS00165		36961	38592	complete	contig_29:68099-66468
gene-EfmE745_RS00170		39083	40648	complete	contig_29:65977-64412
gene-EfmE745_RS00175		40707	41630	complete	contig_29:64353-63430
gene-EfmE745_RS00180		41826	42431	complete	contig_29:63234-62629
gene-EfmE745_RS00185		42739	43755	complete	contig_29:62321-61305
gene-EfmE745_RS00190		43896	45197	complete	contig_29:61164-59863
gene-EfmE745_RS00195		45243	45905	complete	contig_29:59817-59155
gene-EfmE745_RS00200		45926	46324	complete	contig_29:59134-58736
gene-EfmE745_RS00205		46390	47472	complete	contig_29:58670-57588
gene-EfmE745_RS00210		47684	49246	complete	contig_29:57376-55814
gene-EfmE745_RS00215		49239	50372	complete	contig_29:55821-54688
gene-EfmE745_RS00220		50372	51328	complete	contig_29:54688-53732
gene-EfmE745_RS00225		51427	52593	complete	contig_29:53633-52467
gene-EfmE745_RS00230		52617	53435	complete	contig_29:52443-51625
