All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    scaffolds
# contigs (>= 0 bp)         457      
# contigs (>= 1000 bp)      53       
# contigs (>= 5000 bp)      50       
# contigs (>= 10000 bp)     43       
# contigs (>= 25000 bp)     33       
# contigs (>= 50000 bp)     21       
Total length (>= 0 bp)      3115061  
Total length (>= 1000 bp)   3079915  
Total length (>= 5000 bp)   3074529  
Total length (>= 10000 bp)  3024815  
Total length (>= 25000 bp)  2871596  
Total length (>= 50000 bp)  2476496  
# contigs                   56       
Largest contig              304474   
Total length                3082492  
Estimated reference length  3300000  
GC (%)                      37.66    
N50                         122393   
NG50                        113754   
N90                         28698    
NG90                        14199    
auN                         131616.4 
auNG                        122941.3 
L50                         9        
LG50                        10       
L90                         30       
LG90                        39       
# N's per 100 kbp           115.88   
