#                                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001_pilon_pilon:51059-52168|-     -            370 16872                -            369  3.9e-224  740.7   0.0   1   1  1.3e-226  4.4e-224  740.5   0.0     1   369     1   369     1   369 1.00 tig00000001_pilon_pilon_38 # 51059 # 52168 # -1 # ID=1_38;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.402
tig00000001_pilon_pilon:2670450-2671760|- -            437 16872                -            369   4.3e-09   33.1   5.2   1   4   0.00024     0.082    9.2   0.1   167   224     6    61     3    63 0.69 tig00000001_pilon_pilon_2567 # 2670450 # 2671760 # -1 # ID=1_2567;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
tig00000001_pilon_pilon:2670450-2671760|- -            437 16872                -            369   4.3e-09   33.1   5.2   2   4      0.34   1.2e+02   -1.2   0.0    56   111    61   122    36   126 0.59 tig00000001_pilon_pilon_2567 # 2670450 # 2671760 # -1 # ID=1_2567;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
tig00000001_pilon_pilon:2670450-2671760|- -            437 16872                -            369   4.3e-09   33.1   5.2   3   4   1.6e-06   0.00054   16.3   0.1   166   230   176   239   156   257 0.77 tig00000001_pilon_pilon_2567 # 2670450 # 2671760 # -1 # ID=1_2567;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
tig00000001_pilon_pilon:2670450-2671760|- -            437 16872                -            369   4.3e-09   33.1   5.2   4   4   0.00052      0.18    8.1   0.1   102   169   288   354   248   370 0.81 tig00000001_pilon_pilon_2567 # 2670450 # 2671760 # -1 # ID=1_2567;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
tig00000001_pilon_pilon:2649852-2650712|- -            287 16872                -            369   1.8e-06   24.5   0.0   1   1   7.7e-09   2.6e-06   23.9   0.0    88   226    38   177    15   212 0.67 tig00000001_pilon_pilon_2544 # 2649852 # 2650712 # -1 # ID=1_2544;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.418
tig00000001_pilon_pilon:1814977-1815876|+ -            300 16872                -            369   1.3e-05   21.7   0.2   1   1   7.3e-08   2.5e-05   20.7   0.1   167   237     9    78     3   103 0.71 tig00000001_pilon_pilon_1728 # 1814977 # 1815876 # 1 # ID=1_1728;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.408
tig00000001_pilon_pilon:643429-644826|-   -            466 16872                -            369   0.00057   16.3   0.2   1   2   1.7e-06   0.00057   16.3   0.2   148   231   208   292   189   310 0.73 tig00000001_pilon_pilon_583 # 643429 # 644826 # -1 # ID=1_583;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.414
tig00000001_pilon_pilon:643429-644826|-   -            466 16872                -            369   0.00057   16.3   0.2   2   2       1.8   6.2e+02   -3.6   0.1   105   128   338   360   335   364 0.80 tig00000001_pilon_pilon_583 # 643429 # 644826 # -1 # ID=1_583;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.414
tig00000001_pilon_pilon:637589-638689|-   -            367 16872                -            369     0.004   13.5   0.1   1   2   6.9e-05     0.024   10.9   0.0   169   193     7    31     4    43 0.88 tig00000001_pilon_pilon_577 # 637589 # 638689 # -1 # ID=1_577;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.407
tig00000001_pilon_pilon:637589-638689|-   -            367 16872                -            369     0.004   13.5   0.1   2   2      0.17        58   -0.2   0.0   122   155   218   251   183   259 0.69 tig00000001_pilon_pilon_577 # 637589 # 638689 # -1 # ID=1_577;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.407
tig00000001_pilon_pilon:2140901-2143717|+ -            939 16872                -            369    0.0047   13.2   0.1   1   3       1.4   4.6e+02   -3.2   0.0   164   210    26    72    14    77 0.77 tig00000001_pilon_pilon_2058 # 2140901 # 2143717 # 1 # ID=1_2058;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
