#                                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001_pilon_pilon:1807425-1807853|+ -            143 29046                -            140   1.9e-73  242.6   9.7   1   1   9.2e-76   2.2e-73  242.4   9.7     2   139     4   142     3   142 0.97 tig00000001_pilon_pilon_1720 # 1807425 # 1807853 # 1 # ID=1_1720;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.357
tig00000001_pilon_pilon:2463932-2464378|- -            149 29046                -            140   1.1e-26   91.1   1.4   1   1   5.3e-29   1.3e-26   90.8   1.4     2   139     3   140     2   141 0.90 tig00000001_pilon_pilon_2366 # 2463932 # 2464378 # -1 # ID=1_2366;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.374
tig00000001_pilon_pilon:2686298-2686765|- -            156 29046                -            140   1.9e-23   80.6   3.6   1   1   9.4e-26   2.2e-23   80.3   3.6     4   139     6   146     3   147 0.89 tig00000001_pilon_pilon_2584 # 2686298 # 2686765 # -1 # ID=1_2584;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.378
tig00000001_pilon_pilon:178398-179537|+   -            380 29046                -            140     0.048   11.2   7.0   1   2   9.5e-05     0.023   12.2   2.9     3    80    49   126    47   138 0.90 tig00000001_pilon_pilon_193 # 178398 # 179537 # 1 # ID=1_193;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.345
tig00000001_pilon_pilon:178398-179537|+   -            380 29046                -            140     0.048   11.2   7.0   2   2      0.64   1.5e+02   -0.2   0.1    21    52   164   195   157   198 0.85 tig00000001_pilon_pilon_193 # 178398 # 179537 # 1 # ID=1_193;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.345
tig00000002_pilon_pilon:191633-192313|+   -            227 29046                -            140     0.054   11.0   2.3   1   2    0.0016      0.38    8.3   0.2    36    68    24    57     4    92 0.86 tig00000002_pilon_pilon_186 # 191633 # 192313 # 1 # ID=2_186;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
tig00000002_pilon_pilon:191633-192313|+   -            227 29046                -            140     0.054   11.0   2.3   2   2     0.081        19    2.7   0.1     4    35   137   170   134   205 0.72 tig00000002_pilon_pilon_186 # 191633 # 192313 # 1 # ID=2_186;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
tig00000005_pilon_pilon:2137-2817|+       -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0019      0.46    8.0   0.3    36    68    24    57     4    77 0.84 tig00000005_pilon_pilon_5 # 2137 # 2817 # 1 # ID=5_5;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.373
tig00000005_pilon_pilon:2137-2817|+       -            227 29046                -            140       0.1   10.1   3.6   2   2     0.081        19    2.7   0.1     4    35   137   170   134   205 0.72 tig00000005_pilon_pilon_5 # 2137 # 2817 # 1 # ID=5_5;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.373
tig00000005_pilon_pilon:21866-22546|+     -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0019      0.46    8.0   0.3    36    68    24    57     4    77 0.84 tig00000005_pilon_pilon_29 # 21866 # 22546 # 1 # ID=5_29;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
tig00000005_pilon_pilon:21866-22546|+     -            227 29046                -            140       0.1   10.1   3.6   2   2     0.081        19    2.7   0.1     4    35   137   170   134   205 0.72 tig00000005_pilon_pilon_29 # 21866 # 22546 # 1 # ID=5_29;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
tig00000005_pilon_pilon:24611-25291|+     -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0019      0.46    8.0   0.3    36    68    24    57     4    77 0.84 tig00000005_pilon_pilon_32 # 24611 # 25291 # 1 # ID=5_32;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
tig00000005_pilon_pilon:24611-25291|+     -            227 29046                -            140       0.1   10.1   3.6   2   2     0.081        19    2.7   0.1     4    35   137   170   134   205 0.72 tig00000005_pilon_pilon_32 # 24611 # 25291 # 1 # ID=5_32;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
tig00000005_pilon_pilon:29596-30276|+     -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0019      0.46    8.0   0.3    36    68    24    57     4    77 0.84 tig00000005_pilon_pilon_39 # 29596 # 30276 # 1 # ID=5_39;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
tig00000005_pilon_pilon:29596-30276|+     -            227 29046                -            140       0.1   10.1   3.6   2   2     0.081        19    2.7   0.1     4    35   137   170   134   205 0.72 tig00000005_pilon_pilon_39 # 29596 # 30276 # 1 # ID=5_39;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
tig00000005_pilon_pilon:34561-35241|+     -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0019      0.46    8.0   0.3    36    68    24    57     4    77 0.84 tig00000005_pilon_pilon_45 # 34561 # 35241 # 1 # ID=5_45;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.373
tig00000005_pilon_pilon:34561-35241|+     -            227 29046                -            140       0.1   10.1   3.6   2   2     0.081        19    2.7   0.1     4    35   137   170   134   205 0.72 tig00000005_pilon_pilon_45 # 34561 # 35241 # 1 # ID=5_45;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.373
tig00000005_pilon_pilon:7850-8530|-       -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0019      0.46    8.0   0.3    36    68    24    57     4    77 0.84 tig00000005_pilon_pilon_11 # 7850 # 8530 # -1 # ID=5_11;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
tig00000005_pilon_pilon:7850-8530|-       -            227 29046                -            140       0.1   10.1   3.6   2   2     0.081        19    2.7   0.1     4    35   137   170   134   205 0.72 tig00000005_pilon_pilon_11 # 7850 # 8530 # -1 # ID=5_11;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
tig00000007_pilon_pilon:1122-1802|-       -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0019      0.46    8.0   0.3    36    68    24    57     4    77 0.84 tig00000007_pilon_pilon_2 # 1122 # 1802 # -1 # ID=7_2;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
tig00000007_pilon_pilon:1122-1802|-       -            227 29046                -            140       0.1   10.1   3.6   2   2     0.081        19    2.7   0.1     4    35   137   170   134   205 0.72 tig00000007_pilon_pilon_2 # 1122 # 1802 # -1 # ID=7_2;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
tig00000005_pilon_pilon:13283-13963|-     -            227 29046                -            140      0.17    9.4   4.5   1   2     0.002      0.48    7.9   0.8    36    68    24    57     4    89 0.84 tig00000005_pilon_pilon_19 # 13283 # 13963 # -1 # ID=5_19;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.373
tig00000005_pilon_pilon:13283-13963|-     -            227 29046                -            140      0.17    9.4   4.5   2   2     0.081        19    2.7   0.1     4    35   137   170   134   205 0.72 tig00000005_pilon_pilon_19 # 13283 # 13963 # -1 # ID=5_19;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.373
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/29046at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/canu_pacbio_pilon_r2_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/canu_pacbio_pilon_r2_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/29046at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/29046at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/canu_pacbio_pilon_r2_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 00:59:29 2026
# [ok]
