#                                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001_pilon_pilon:1529263-1531272|+ -            670 599                  -            669         0 1419.4   3.5   1   1         0         0 1419.3   3.5     1   669     1   669     1   669 1.00 tig00000001_pilon_pilon_1459 # 1529263 # 1531272 # 1 # ID=1_1459;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.394
tig00000001_pilon_pilon:1609007-1611652|+ -            882 599                  -            669   3.1e-29   99.5   0.8   1   2   1.2e-15   6.3e-13   45.6   0.1     5   125    39   177    35   197 0.80 tig00000001_pilon_pilon_1529 # 1609007 # 1611652 # 1 # ID=1_1529;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.405
tig00000001_pilon_pilon:1609007-1611652|+ -            882 599                  -            669   3.1e-29   99.5   0.8   2   2   1.1e-17   5.9e-15   52.3   0.1   236   515   449   726   440   749 0.79 tig00000001_pilon_pilon_1529 # 1609007 # 1611652 # 1 # ID=1_1529;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.405
tig00000001_pilon_pilon:375058-377472|-   -            805 599                  -            669   1.6e-25   87.2   2.9   1   2     5e-16   2.6e-13   46.9   0.0     3   197    29   218    28   228 0.84 tig00000001_pilon_pilon_360 # 375058 # 377472 # -1 # ID=1_360;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
tig00000001_pilon_pilon:375058-377472|-   -            805 599                  -            669   1.6e-25   87.2   2.9   2   2   9.1e-13   4.7e-10   36.1   2.3   255   398   514   671   502   698 0.67 tig00000001_pilon_pilon_360 # 375058 # 377472 # -1 # ID=1_360;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
tig00000001_pilon_pilon:1379224-1382022|+ -            933 599                  -            669   2.4e-19   66.8   0.6   1   2   5.1e-11   2.6e-08   30.3   0.0    14   142    57   199    45   221 0.78 tig00000001_pilon_pilon_1293 # 1379224 # 1382022 # 1 # ID=1_1293;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.384
tig00000001_pilon_pilon:1379224-1382022|+ -            933 599                  -            669   2.4e-19   66.8   0.6   2   2   3.1e-12   1.6e-09   34.4   0.4   295   511   578   795   538   835 0.79 tig00000001_pilon_pilon_1293 # 1379224 # 1382022 # 1 # ID=1_1293;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.384
tig00000001_pilon_pilon:468606-470018|-   -            471 599                  -            669   2.1e-09   33.9   1.3   1   2   8.9e-11   4.6e-08   29.5   0.2     7   129    25   144    20   161 0.85 tig00000001_pilon_pilon_433 # 468606 # 470018 # -1 # ID=1_433;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.405
tig00000001_pilon_pilon:468606-470018|-   -            471 599                  -            669   2.1e-09   33.9   1.3   2   2    0.0087       4.5    3.1   0.0   306   336   267   297   252   390 0.90 tig00000001_pilon_pilon_433 # 468606 # 470018 # -1 # ID=1_433;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.405
tig00000001_pilon_pilon:2496530-2498950|- -            807 599                  -            669   0.00038   16.5   0.3   1   3   3.4e-06    0.0018   14.4   0.1   572   648    46   125    36   142 0.80 tig00000001_pilon_pilon_2399 # 2496530 # 2498950 # -1 # ID=1_2399;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.391
tig00000001_pilon_pilon:2496530-2498950|- -            807 599                  -            669   0.00038   16.5   0.3   2   3      0.46   2.4e+02   -2.6   0.0   513   527   150   164   145   172 0.84 tig00000001_pilon_pilon_2399 # 2496530 # 2498950 # -1 # ID=1_2399;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.391
