#                                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001_pilon_pilon:696081-697643|+   -            521 18543                -            519         0 1013.3  19.6   1   1         0         0 1013.2  19.6     2   514     3   515     2   520 0.99 tig00000001_pilon_pilon_631 # 696081 # 697643 # 1 # ID=1_631;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
tig00000001_pilon_pilon:2561304-2562830|- -            509 18543                -            519  1.2e-112  374.4   9.1   1   1  3.6e-114  1.4e-112  374.2   9.1     5   500     4   503     1   507 0.95 tig00000001_pilon_pilon_2459 # 2561304 # 2562830 # -1 # ID=1_2459;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
tig00000001_pilon_pilon:2494359-2495096|- -            246 18543                -            519   1.1e-40  137.0   1.6   1   1   3.3e-42   1.3e-40  136.7   1.6     6   222     3   218     1   229 0.93 tig00000001_pilon_pilon_2397 # 2494359 # 2495096 # -1 # ID=1_2397;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.396
tig00000001_pilon_pilon:2136397-2137134|- -            246 18543                -            519   2.2e-38  129.4   1.4   1   1     7e-40   2.7e-38  129.1   1.4     9   221     7   218     2   228 0.92 tig00000001_pilon_pilon_2055 # 2136397 # 2137134 # -1 # ID=1_2055;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.393
tig00000001_pilon_pilon:1157182-1158225|+ -            348 18543                -            519   7.5e-38  127.6   1.3   1   1   3.4e-39   1.3e-37  126.8   1.3     6   232     6   236     2   258 0.87 tig00000001_pilon_pilon_1080 # 1157182 # 1158225 # 1 # ID=1_1080;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.423
tig00000001_pilon_pilon:804961-805701|-   -            247 18543                -            519   2.3e-35  119.4   1.6   1   1     7e-37   2.7e-35  119.2   1.6     4   218     3   216     1   227 0.91 tig00000001_pilon_pilon_747 # 804961 # 805701 # -1 # ID=1_747;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.372
tig00000001_pilon_pilon:1220343-1221416|+ -            358 18543                -            519   2.2e-33  112.9   1.8   1   1   7.4e-35   2.9e-33  112.5   1.8     7   222     2   221     1   239 0.88 tig00000001_pilon_pilon_1138 # 1220343 # 1221416 # 1 # ID=1_1138;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.384
tig00000001_pilon_pilon:849618-850793|-   -            392 18543                -            519   2.3e-32  109.5   3.3   1   1   5.8e-34   2.3e-32  109.5   3.3     7   223     2   217     1   275 0.90 tig00000001_pilon_pilon_791 # 849618 # 850793 # -1 # ID=1_791;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.416
tig00000001_pilon_pilon:1644740-1645483|+ -            248 18543                -            519   7.3e-32  107.9   0.0   1   1   2.2e-33   8.8e-32  107.6   0.0     7   226     2   216     1   230 0.93 tig00000001_pilon_pilon_1560 # 1644740 # 1645483 # 1 # ID=1_1560;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.366
tig00000001_pilon_pilon:2619186-2619878|- -            231 18543                -            519   3.8e-31  105.5   0.2   1   1   1.1e-32   4.5e-31  105.3   0.2     6   225     4   222     1   229 0.90 tig00000001_pilon_pilon_2517 # 2619186 # 2619878 # -1 # ID=1_2517;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.395
tig00000001_pilon_pilon:1021967-1022719|+ -            251 18543                -            519   5.2e-31  105.0   0.3   1   1   1.5e-32   5.8e-31  104.9   0.3     4   201     2   205     1   236 0.87 tig00000001_pilon_pilon_960 # 1021967 # 1022719 # 1 # ID=1_960;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.396
