#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_4_length_185058_cov_63.073482:152475-154256|- -            594 115235               -            558  6.5e-254  840.7   1.2   1   1  1.5e-256  7.8e-254  840.5   1.2     2   543     4   564     3   582 0.93 NODE_4_length_185058_cov_63.073482_147 # 152475 # 154256 # -1 # ID=4_147;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.428
NODE_4_length_185058_cov_63.073482:111934-113340|- -            469 115235               -            558   1.5e-44  149.6   1.8   1   2   0.00011     0.059    9.0   0.7     2    81     4    94     3   103 0.69 NODE_4_length_185058_cov_63.073482_106 # 111934 # 113340 # -1 # ID=4_106;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.420
NODE_4_length_185058_cov_63.073482:111934-113340|- -            469 115235               -            558   1.5e-44  149.6   1.8   2   2   2.8e-44   1.5e-41  139.8   0.0   184   495   122   418   110   460 0.88 NODE_4_length_185058_cov_63.073482_106 # 111934 # 113340 # -1 # ID=4_106;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.420
NODE_4_length_185058_cov_63.073482:151106-152482|- -            459 115235               -            558   9.6e-36  120.6   0.6   1   2   1.8e-11   9.3e-09   31.5   0.3     4    88     8    98     6   127 0.79 NODE_4_length_185058_cov_63.073482_146 # 151106 # 152482 # -1 # ID=4_146;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.424
NODE_4_length_185058_cov_63.073482:151106-152482|- -            459 115235               -            558   9.6e-36  120.6   0.6   2   2   1.7e-28   9.1e-26   87.6   0.0   269   504   202   434   119   452 0.87 NODE_4_length_185058_cov_63.073482_146 # 151106 # 152482 # -1 # ID=4_146;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.424
NODE_4_length_185058_cov_63.073482:114279-115835|- -            519 115235               -            558   1.1e-18   64.3   0.6   1   2   0.00015     0.079    8.6   0.2    33    91    61   119    29   131 0.89 NODE_4_length_185058_cov_63.073482_108 # 114279 # 115835 # -1 # ID=4_108;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_4_length_185058_cov_63.073482:114279-115835|- -            519 115235               -            558   1.1e-18   64.3   0.6   2   2     2e-18   1.1e-15   54.4   0.0   178   417   129   363   119   376 0.87 NODE_4_length_185058_cov_63.073482_108 # 114279 # 115835 # -1 # ID=4_108;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_6_length_133129_cov_71.626923:82131-83201|-   -            357 115235               -            558    0.0083   11.8   0.0   1   1   2.5e-05     0.013   11.2   0.0   204   237    28    61    17    79 0.83 NODE_6_length_133129_cov_71.626923_74 # 82131 # 83201 # -1 # ID=6_74;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.424
NODE_28_length_29579_cov_95.650511:5072-6793|+     -            574 115235               -            558    0.0087   11.8   0.0   1   1   2.5e-05     0.013   11.2   0.0   152   238   309   390   287   406 0.68 NODE_28_length_29579_cov_95.650511_4 # 5072 # 6793 # 1 # ID=28_4;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.400
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/archaea_odb12/hmms/115235at2157.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_isolate_auto/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_isolate_auto/auto_lineage/run_archaea_odb12/hmmer_output/115235at2157.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/archaea_odb12/hmms/115235at2157.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_isolate_auto/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 22 11:43:09 2026
# [ok]
