#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_40_length_13809_cov_53.038763:11480-13090|-   -            537 52769                -            483  2.8e-203  673.8   0.2   1   1  6.2e-206  3.3e-203  673.6   0.2     1   481    12   528    12   530 0.91 NODE_40_length_13809_cov_53.038763_13 # 11480 # 13090 # -1 # ID=40_13;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.401
NODE_1_length_304474_cov_63.252055:170773-171849|+ -            359 52769                -            483   6.3e-06   23.0   0.1   1   3    0.0038         2    4.9   0.0   259   334    49   125    31   132 0.86 NODE_1_length_304474_cov_63.252055_162 # 170773 # 171849 # 1 # ID=1_162;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.408
NODE_1_length_304474_cov_63.252055:170773-171849|+ -            359 52769                -            483   6.3e-06   23.0   0.1   2   3   2.4e-05     0.013   12.1   0.0   300   355   201   255   173   269 0.74 NODE_1_length_304474_cov_63.252055_162 # 170773 # 171849 # 1 # ID=1_162;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.408
NODE_1_length_304474_cov_63.252055:170773-171849|+ -            359 52769                -            483   6.3e-06   23.0   0.1   3   3     0.019        10    2.6   0.0   420   481   289   351   276   353 0.80 NODE_1_length_304474_cov_63.252055_162 # 170773 # 171849 # 1 # ID=1_162;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.408
NODE_23_length_39921_cov_95.495462:30986-31381|-   -            132 52769                -            483    0.0027   14.3   0.1   1   2   1.1e-05    0.0056   13.3   0.1   106   165    13    75     1    81 0.78 NODE_23_length_39921_cov_95.495462_26 # 30986 # 31381 # -1 # ID=23_26;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.419
NODE_23_length_39921_cov_95.495462:30986-31381|-   -            132 52769                -            483    0.0027   14.3   0.1   2   2       0.2     1e+02   -0.8   0.0   291   329    74   112    68   122 0.77 NODE_23_length_39921_cov_95.495462_26 # 30986 # 31381 # -1 # ID=23_26;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.419
NODE_5_length_181677_cov_163.395180:96384-97997|-  -            538 52769                -            483    0.0061   13.2   0.1   1   2   5.7e-05      0.03   10.9   0.0   300   356    60   115    48   143 0.76 NODE_5_length_181677_cov_163.395180_96 # 96384 # 97997 # -1 # ID=5_96;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.435
NODE_5_length_181677_cov_163.395180:96384-97997|-  -            538 52769                -            483    0.0061   13.2   0.1   2   2      0.19        99   -0.7   0.0   329   441   230   340   223   348 0.75 NODE_5_length_181677_cov_163.395180_96 # 96384 # 97997 # -1 # ID=5_96;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.435
NODE_17_length_62801_cov_60.881707:22112-23677|-   -            522 52769                -            483    0.0091   12.6   0.2   1   3   0.00014     0.073    9.6   0.0   311   355    54    98    37   141 0.69 NODE_17_length_62801_cov_60.881707_22 # 22112 # 23677 # -1 # ID=17_22;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.427
NODE_17_length_62801_cov_60.881707:22112-23677|-   -            522 52769                -            483    0.0091   12.6   0.2   2   3      0.45   2.4e+02   -2.0   0.0   445   465   161   181   144   185 0.76 NODE_17_length_62801_cov_60.881707_22 # 22112 # 23677 # -1 # ID=17_22;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.427
NODE_17_length_62801_cov_60.881707:22112-23677|-   -            522 52769                -            483    0.0091   12.6   0.2   3   3      0.18        95   -0.7   0.0   328   442   213   325   208   332 0.78 NODE_17_length_62801_cov_60.881707_22 # 22112 # 23677 # -1 # ID=17_22;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.427
NODE_1_length_304474_cov_63.252055:17093-17764|+   -            224 52769                -            483     0.029   10.9   0.0   1   1   8.4e-05     0.044   10.3   0.0   299   352    31    92    18    96 0.64 NODE_1_length_304474_cov_63.252055_19 # 17093 # 17764 # 1 # ID=1_19;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.421
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
