#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_4_length_185058_cov_63.073482:50832-51125|-   -             98 5935                 -            172    0.0004   17.0   0.4   1   1   8.8e-07   0.00055   16.6   0.4     5    69     7    71     4    96 0.90 NODE_4_length_185058_cov_63.073482_49 # 50832 # 51125 # -1 # ID=4_49;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.391
NODE_12_length_79680_cov_63.087599:31611-32078|+   -            156 5935                 -            172    0.0013   15.3   0.1   1   2     1e-05    0.0065   13.1   0.0    32    66    24    58    10    65 0.86 NODE_12_length_79680_cov_63.087599_36 # 31611 # 32078 # 1 # ID=12_36;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.387
NODE_12_length_79680_cov_63.087599:31611-32078|+   -            156 5935                 -            172    0.0013   15.3   0.1   2   2      0.15        94   -0.5   0.1    90   109   104   123   100   129 0.58 NODE_12_length_79680_cov_63.087599_36 # 31611 # 32078 # 1 # ID=12_36;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.387
NODE_7_length_127392_cov_103.596228:2165-2587|+    -            141 5935                 -            172     0.011   12.3   0.8   1   2   0.00013     0.083    9.5   0.1   105   126    11    32     3    40 0.80 NODE_7_length_127392_cov_103.596228_7 # 2165 # 2587 # 1 # ID=7_7;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.352
NODE_7_length_127392_cov_103.596228:2165-2587|+    -            141 5935                 -            172     0.011   12.3   0.8   2   2     0.062        39    0.8   0.1   109   120    60    71    44    80 0.81 NODE_7_length_127392_cov_103.596228_7 # 2165 # 2587 # 1 # ID=7_7;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.352
NODE_6_length_133129_cov_71.626923:36313-36651|-   -            113 5935                 -            172     0.014   12.0   0.6   1   1   4.1e-05     0.026   11.1   0.6   117   153     6    40     4    43 0.89 NODE_6_length_133129_cov_71.626923_34 # 36313 # 36651 # -1 # ID=6_34;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.404
NODE_2_length_252901_cov_71.242866:145095-147131|+ -            679 5935                 -            172     0.066    9.8   2.8   1   3   0.00025      0.16    8.6   0.1   127   158   399   430   393   443 0.79 NODE_2_length_252901_cov_71.242866_140 # 145095 # 147131 # 1 # ID=2_140;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_2_length_252901_cov_71.242866:145095-147131|+ -            679 5935                 -            172     0.066    9.8   2.8   2   3       1.1   7.1e+02   -3.3   0.0    52    63   456   467   456   469 0.90 NODE_2_length_252901_cov_71.242866_140 # 145095 # 147131 # 1 # ID=2_140;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_2_length_252901_cov_71.242866:145095-147131|+ -            679 5935                 -            172     0.066    9.8   2.8   3   3      0.12        74   -0.1   0.1    54    74   473   493   471   499 0.87 NODE_2_length_252901_cov_71.242866_140 # 145095 # 147131 # 1 # ID=2_140;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.411
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/archaea_odb12/hmms/5935at2157.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_isolate_auto/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_isolate_auto/auto_lineage/run_archaea_odb12/hmmer_output/5935at2157.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/archaea_odb12/hmms/5935at2157.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_isolate_auto/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 22 11:43:14 2026
# [ok]
