#                                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001_pilon_pilon:290673-291017|+   -            115 14868                -            115   7.3e-52  171.9   0.4   1   1   1.8e-54   7.9e-52  171.8   0.4     1   112     1   112     1   114 0.98 tig00000001_pilon_pilon_302 # 290673 # 291017 # 1 # ID=1_302;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.374
tig00000001_pilon_pilon:1779583-1780185|+ -            201 14868                -            115   3.7e-09   34.3   7.3   1   3   3.6e-11   1.6e-08   32.3   0.1     4    62     6    64     3    90 0.79 tig00000001_pilon_pilon_1700 # 1779583 # 1780185 # 1 # ID=1_1700;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
tig00000001_pilon_pilon:1779583-1780185|+ -            201 14868                -            115   3.7e-09   34.3   7.3   2   3     0.035        15    3.3   0.2    25    70    93   138    77   149 0.60 tig00000001_pilon_pilon_1700 # 1779583 # 1780185 # 1 # ID=1_1700;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
tig00000001_pilon_pilon:1779583-1780185|+ -            201 14868                -            115   3.7e-09   34.3   7.3   3   3       0.1        44    1.8   0.8    45    69   167   191   136   199 0.49 tig00000001_pilon_pilon_1700 # 1779583 # 1780185 # 1 # ID=1_1700;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
tig00000001_pilon_pilon:1125251-1125913|- -            221 14868                -            115    0.0043   14.7   4.9   1   2   0.00033      0.15    9.8   0.2     4    76    25    99    24   109 0.82 tig00000001_pilon_pilon_1052 # 1125251 # 1125913 # -1 # ID=1_1052;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
tig00000001_pilon_pilon:1125251-1125913|- -            221 14868                -            115    0.0043   14.7   4.9   2   2    0.0027       1.2    6.9   0.7    38    85   143   189   115   213 0.83 tig00000001_pilon_pilon_1052 # 1125251 # 1125913 # -1 # ID=1_1052;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
tig00000001_pilon_pilon:2539695-2540141|- -            149 14868                -            115      0.13   10.0   3.7   1   2      0.41   1.8e+02   -0.2   0.3    43    43    34    34     6    66 0.51 tig00000001_pilon_pilon_2443 # 2539695 # 2540141 # -1 # ID=1_2443;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.389
tig00000001_pilon_pilon:2539695-2540141|- -            149 14868                -            115      0.13   10.0   3.7   2   2   0.00015     0.066   10.9   0.3    42    83    82   123    72   124 0.87 tig00000001_pilon_pilon_2443 # 2539695 # 2540141 # -1 # ID=1_2443;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.389
tig00000001_pilon_pilon:1081182-1082078|+ -            299 14868                -            115      0.42    8.3  12.4   1   2   3.5e-05     0.015   13.0   3.1    14    78    40   104    35   164 0.86 tig00000001_pilon_pilon_1010 # 1081182 # 1082078 # 1 # ID=1_1010;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
tig00000001_pilon_pilon:1081182-1082078|+ -            299 14868                -            115      0.42    8.3  12.4   2   2      0.39   1.7e+02   -0.1   1.9    37    69   207   239   196   253 0.77 tig00000001_pilon_pilon_1010 # 1081182 # 1082078 # 1 # ID=1_1010;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
tig00000001_pilon_pilon:1603139-1604860|+ -            574 14868                -            115      0.52    8.0  30.4   1   6    0.0014      0.63    7.8   4.0    27   110   106   188   102   193 0.88 tig00000001_pilon_pilon_1525 # 1603139 # 1604860 # 1 # ID=1_1525;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
tig00000001_pilon_pilon:1603139-1604860|+ -            574 14868                -            115      0.52    8.0  30.4   2   6     0.026        12    3.7   0.5    38   112   203   278   198   282 0.84 tig00000001_pilon_pilon_1525 # 1603139 # 1604860 # 1 # ID=1_1525;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
tig00000001_pilon_pilon:1603139-1604860|+ -            574 14868                -            115      0.52    8.0  30.4   3   6      0.54   2.4e+02   -0.5   0.2    40    72   289   324   277   334 0.42 tig00000001_pilon_pilon_1525 # 1603139 # 1604860 # 1 # ID=1_1525;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
tig00000001_pilon_pilon:1603139-1604860|+ -            574 14868                -            115      0.52    8.0  30.4   4   6      0.19        83    0.9   0.9    30    96   314   375   306   383 0.50 tig00000001_pilon_pilon_1525 # 1603139 # 1604860 # 1 # ID=1_1525;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
tig00000001_pilon_pilon:1603139-1604860|+ -            574 14868                -            115      0.52    8.0  30.4   5   6   0.00027      0.12   10.1   0.9    30   111   401   479   391   482 0.89 tig00000001_pilon_pilon_1525 # 1603139 # 1604860 # 1 # ID=1_1525;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
tig00000001_pilon_pilon:1603139-1604860|+ -            574 14868                -            115      0.52    8.0  30.4   6   6      0.26   1.1e+02    0.5   0.0    45    72   505   532   488   569 0.52 tig00000001_pilon_pilon_1525 # 1603139 # 1604860 # 1 # ID=1_1525;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
tig00000001_pilon_pilon:970294-971151|+   -            286 14868                -            115      0.67    7.7  14.4   1   3     0.004       1.8    6.3   3.8    34    93    82   137    76   151 0.74 tig00000001_pilon_pilon_911 # 970294 # 971151 # 1 # ID=1_911;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.399
tig00000001_pilon_pilon:970294-971151|+   -            286 14868                -            115      0.67    7.7  14.4   2   3    0.0059       2.6    5.8   1.4    29    71   141   184   130   196 0.65 tig00000001_pilon_pilon_911 # 970294 # 971151 # 1 # ID=1_911;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.399
tig00000001_pilon_pilon:970294-971151|+   -            286 14868                -            115      0.67    7.7  14.4   3   3       0.1        44    1.8   0.2    34    68   189   223   185   263 0.79 tig00000001_pilon_pilon_911 # 970294 # 971151 # 1 # ID=1_911;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.399
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
