#                                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001_pilon_pilon:1379224-1382022|+ -            933 19235                -            930         0 2031.7   3.8   1   1         0         0 2031.5   3.8     1   930     1   930     1   930 1.00 tig00000001_pilon_pilon_1293 # 1379224 # 1382022 # 1 # ID=1_1293;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.384
tig00000001_pilon_pilon:1609007-1611652|+ -            882 19235                -            930   2.2e-85  284.6   7.5   1   3   3.2e-29     2e-26   89.6   0.1    24   248    17   237     5   250 0.90 tig00000001_pilon_pilon_1529 # 1609007 # 1611652 # 1 # ID=1_1529;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.405
tig00000001_pilon_pilon:1609007-1611652|+ -            882 19235                -            930   2.2e-85  284.6   7.5   2   3   1.4e-23   8.7e-21   70.9   0.7   299   475   252   432   247   437 0.91 tig00000001_pilon_pilon_1529 # 1609007 # 1611652 # 1 # ID=1_1529;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.405
tig00000001_pilon_pilon:1609007-1611652|+ -            882 19235                -            930   2.2e-85  284.6   7.5   3   3   3.1e-41   1.9e-38  129.3   0.2   493   790   420   719   420   776 0.83 tig00000001_pilon_pilon_1529 # 1609007 # 1611652 # 1 # ID=1_1529;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.405
tig00000001_pilon_pilon:375058-377472|-   -            805 19235                -            930   1.5e-33  113.1  17.2   1   6   9.5e-18   5.8e-15   51.6   0.8    19   197     4   169     1   177 0.89 tig00000001_pilon_pilon_360 # 375058 # 377472 # -1 # ID=1_360;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
tig00000001_pilon_pilon:375058-377472|-   -            805 19235                -            930   1.5e-33  113.1  17.2   2   6     0.033        20    0.2   0.1   402   430   182   210   172   214 0.89 tig00000001_pilon_pilon_360 # 375058 # 377472 # -1 # ID=1_360;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
tig00000001_pilon_pilon:375058-377472|-   -            805 19235                -            930   1.5e-33  113.1  17.2   3   6   1.8e-07   0.00011   17.6   0.1   221   370   235   387   229   406 0.82 tig00000001_pilon_pilon_360 # 375058 # 377472 # -1 # ID=1_360;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
tig00000001_pilon_pilon:375058-377472|-   -            805 19235                -            930   1.5e-33  113.1  17.2   4   6   2.4e-06    0.0015   13.9   0.4   447   476   413   442   387   446 0.79 tig00000001_pilon_pilon_360 # 375058 # 377472 # -1 # ID=1_360;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
tig00000001_pilon_pilon:375058-377472|-   -            805 19235                -            930   1.5e-33  113.1  17.2   5   6   3.3e-10     2e-07   26.6   0.3   570   621   553   604   503   688 0.66 tig00000001_pilon_pilon_360 # 375058 # 377472 # -1 # ID=1_360;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
tig00000001_pilon_pilon:375058-377472|-   -            805 19235                -            930   1.5e-33  113.1  17.2   6   6   1.9e-05     0.011   10.9   0.1   699   790   652   739   627   772 0.78 tig00000001_pilon_pilon_360 # 375058 # 377472 # -1 # ID=1_360;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
tig00000001_pilon_pilon:1529263-1531272|+ -            670 19235                -            930   1.5e-16   56.9   0.4   1   2   3.7e-12   2.3e-09   33.1   0.4    47   202     4   147     2   157 0.79 tig00000001_pilon_pilon_1459 # 1529263 # 1531272 # 1 # ID=1_1459;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.394
