#                                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001_pilon_pilon:1753496-1754809|+ -            438 23615                -            403  5.5e-168  556.1   1.8   1   1  1.3e-170  6.8e-168  555.8   1.8    14   402    27   432    16   433 0.92 tig00000001_pilon_pilon_1675 # 1753496 # 1754809 # 1 # ID=1_1675;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.393
tig00000001_pilon_pilon:741806-743842|+   -            679 23615                -            403     3e-15   53.1   0.1   1   1   1.2e-17   6.4e-15   52.0   0.1    66   372   241   571   228   581 0.80 tig00000001_pilon_pilon_689 # 741806 # 743842 # 1 # ID=1_689;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=11-12bp;gc_cont=0.417
tig00000001_pilon_pilon:434651-437059|-   -            803 23615                -            403   1.1e-12   44.6   3.2   1   3       1.3   6.8e+02   -4.1   0.1   252   278   192   218   177   222 0.74 tig00000001_pilon_pilon_401 # 434651 # 437059 # -1 # ID=1_401;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.410
tig00000001_pilon_pilon:434651-437059|-   -            803 23615                -            403   1.1e-12   44.6   3.2   2   3   1.8e-12   9.5e-10   35.0   0.1    77   243   263   450   248   497 0.68 tig00000001_pilon_pilon_401 # 434651 # 437059 # -1 # ID=1_401;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.410
tig00000001_pilon_pilon:434651-437059|-   -            803 23615                -            403   1.1e-12   44.6   3.2   3   3   7.6e-05     0.039    9.9   0.0   314   394   594   683   563   690 0.72 tig00000001_pilon_pilon_401 # 434651 # 437059 # -1 # ID=1_401;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.410
tig00000001_pilon_pilon:412950-416471|-   -           1174 23615                -            403   1.6e-12   44.1   0.2   1   2      0.23   1.2e+02   -1.6   0.0    98   155    27    81    12    91 0.62 tig00000001_pilon_pilon_383 # 412950 # 416471 # -1 # ID=1_383;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.415
tig00000001_pilon_pilon:412950-416471|-   -           1174 23615                -            403   1.6e-12   44.1   0.2   2   2   1.9e-14   9.9e-12   41.5   0.1    84   385   631   940   598   960 0.75 tig00000001_pilon_pilon_383 # 412950 # 416471 # -1 # ID=1_383;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.415
tig00000001_pilon_pilon:2138897-2140891|+ -            665 23615                -            403   1.3e-11   41.2   0.1   1   2     0.021        11    1.8   0.0    95   150    37    89     2   107 0.67 tig00000001_pilon_pilon_2057 # 2138897 # 2140891 # 1 # ID=1_2057;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.408
tig00000001_pilon_pilon:2138897-2140891|+ -            665 23615                -            403   1.3e-11   41.2   0.1   2   2   5.3e-13   2.7e-10   36.8   0.1   214   397   393   573   383   579 0.72 tig00000001_pilon_pilon_2057 # 2138897 # 2140891 # 1 # ID=1_2057;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.408
tig00000001_pilon_pilon:2440137-2441486|- -            450 23615                -            403    0.0052   12.8   2.3   1   2   1.6e-05    0.0083   12.1   0.2   258   347   226   316    22   338 0.79 tig00000001_pilon_pilon_2344 # 2440137 # 2441486 # -1 # ID=1_2344;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.381
tig00000001_pilon_pilon:2440137-2441486|- -            450 23615                -            403    0.0052   12.8   2.3   2   2         1   5.4e+02   -3.7   0.2   285   320   399   434   396   438 0.81 tig00000001_pilon_pilon_2344 # 2440137 # 2441486 # -1 # ID=1_2344;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.381
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/23615at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/canu_pacbio_pilon_r2_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/canu_pacbio_pilon_r2_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/23615at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/23615at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/canu_pacbio_pilon_r2_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 00:56:58 2026
# [ok]
