#                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_7_length_162800_cov_68.413407:67893-70691|+  -            933 30823                -            882  2.1e-188  625.4   8.8   1   1  2.1e-190  1.3e-187  622.8   8.8     9   754    24   815    18   845 0.87 NODE_7_length_162800_cov_68.413407_70 # 67893 # 70691 # 1 # ID=7_70;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.384
NODE_18_length_58283_cov_66.770060:54467-57112|-  -            882 30823                -            882  5.5e-125  415.6   5.3   1   2   1.2e-39   7.1e-37  124.1   0.0     3   232    11   244     9   256 0.93 NODE_18_length_58283_cov_66.770060_59 # 54467 # 57112 # -1 # ID=18_59;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.406
NODE_18_length_58283_cov_66.770060:54467-57112|-  -            882 30823                -            882  5.5e-125  415.6   5.3   2   2     4e-90   2.4e-87  291.0   2.4   278   777   255   766   242   778 0.89 NODE_18_length_58283_cov_66.770060_59 # 54467 # 57112 # -1 # ID=18_59;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.406
NODE_10_length_119333_cov_96.609128:83855-86269|+ -            805 30823                -            882     6e-51  170.6  21.0   1   6   9.1e-24   5.6e-21   71.5   2.8     4   183     4   170     1   176 0.91 NODE_10_length_119333_cov_96.609128_64 # 83855 # 86269 # 1 # ID=10_64;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_10_length_119333_cov_96.609128:83855-86269|+ -            805 30823                -            882     6e-51  170.6  21.0   2   6   0.00013     0.081    8.1   0.1   367   414   177   223   172   230 0.88 NODE_10_length_119333_cov_96.609128_64 # 83855 # 86269 # 1 # ID=10_64;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_10_length_119333_cov_96.609128:83855-86269|+ -            805 30823                -            882     6e-51  170.6  21.0   3   6   1.9e-07   0.00012   17.5   0.1   196   333   231   371   224   381 0.73 NODE_10_length_119333_cov_96.609128_64 # 83855 # 86269 # 1 # ID=10_64;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_10_length_119333_cov_96.609128:83855-86269|+ -            805 30823                -            882     6e-51  170.6  21.0   4   6   5.7e-09   3.5e-06   22.5   1.1   401   448   397   444   375   452 0.73 NODE_10_length_119333_cov_96.609128_64 # 83855 # 86269 # 1 # ID=10_64;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_10_length_119333_cov_96.609128:83855-86269|+ -            805 30823                -            882     6e-51  170.6  21.0   5   6     1e-16   6.3e-14   48.1   0.3   508   656   544   686   503   691 0.78 NODE_10_length_119333_cov_96.609128_64 # 83855 # 86269 # 1 # ID=10_64;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_10_length_119333_cov_96.609128:83855-86269|+ -            805 30823                -            882     6e-51  170.6  21.0   6   6   0.00017      0.11    7.7   0.0   685   747   695   754   686   772 0.75 NODE_10_length_119333_cov_96.609128_64 # 83855 # 86269 # 1 # ID=10_64;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_8_length_133129_cov_72.724935:76408-78417|-  -            670 30823                -            882   3.1e-27   92.2   0.2   1   3   1.2e-11   7.2e-09   31.4   0.0    28    93     3    68     1    92 0.88 NODE_8_length_133129_cov_72.724935_69 # 76408 # 78417 # -1 # ID=8_69;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.395
NODE_8_length_133129_cov_72.724935:76408-78417|-  -            670 30823                -            882   3.1e-27   92.2   0.2   2   3   0.00052      0.32    6.1   0.0   370   431   161   227    97   229 0.78 NODE_8_length_133129_cov_72.724935_69 # 76408 # 78417 # -1 # ID=8_69;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.395
NODE_8_length_133129_cov_72.724935:76408-78417|-  -            670 30823                -            882   3.1e-27   92.2   0.2   3   3   1.2e-17   7.1e-15   51.3   0.0   491   721   261   498   231   513 0.76 NODE_8_length_133129_cov_72.724935_69 # 76408 # 78417 # -1 # ID=8_69;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.395
