#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_5_length_185063_cov_65.589034:133939-134232|+ -             98 5935                 -            172    0.0004   17.0   0.4   1   1   8.8e-07   0.00054   16.6   0.4     5    69     7    71     4    96 0.90 NODE_5_length_185063_cov_65.589034_126 # 133939 # 134232 # 1 # ID=5_126;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.388
NODE_13_length_81038_cov_67.502957:31611-32078|+   -            156 5935                 -            172    0.0013   15.3   0.1   1   2     1e-05    0.0063   13.1   0.0    32    66    24    58    10    65 0.86 NODE_13_length_81038_cov_67.502957_36 # 31611 # 32078 # 1 # ID=13_36;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.387
NODE_13_length_81038_cov_67.502957:31611-32078|+   -            156 5935                 -            172    0.0013   15.3   0.1   2   2      0.15        92   -0.5   0.1    90   109   104   123   100   129 0.58 NODE_13_length_81038_cov_67.502957_36 # 31611 # 32078 # 1 # ID=13_36;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.387
NODE_1_length_385945_cov_86.278628:124805-125227|- -            141 5935                 -            172     0.011   12.3   0.8   1   2   0.00013     0.081    9.5   0.1   105   126    11    32     3    40 0.80 NODE_1_length_385945_cov_86.278628_124 # 124805 # 125227 # -1 # ID=1_124;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.355
NODE_1_length_385945_cov_86.278628:124805-125227|- -            141 5935                 -            172     0.011   12.3   0.8   2   2     0.062        38    0.8   0.1   109   120    60    71    44    80 0.81 NODE_1_length_385945_cov_86.278628_124 # 124805 # 125227 # -1 # ID=1_124;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.355
NODE_8_length_133129_cov_72.724935:36313-36651|-   -            113 5935                 -            172     0.014   12.0   0.6   1   1   4.1e-05     0.025   11.1   0.6   117   153     6    40     4    43 0.89 NODE_8_length_133129_cov_72.724935_34 # 36313 # 36651 # -1 # ID=8_34;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.404
NODE_1_length_385945_cov_86.278628:278141-280177|+ -            679 5935                 -            172     0.065    9.8   2.8   1   3   0.00025      0.16    8.6   0.1   127   158   399   430   393   443 0.79 NODE_1_length_385945_cov_86.278628_283 # 278141 # 280177 # 1 # ID=1_283;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_1_length_385945_cov_86.278628:278141-280177|+ -            679 5935                 -            172     0.065    9.8   2.8   2   3       1.1   6.9e+02   -3.3   0.0    52    63   456   467   456   469 0.90 NODE_1_length_385945_cov_86.278628_283 # 278141 # 280177 # 1 # ID=1_283;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_1_length_385945_cov_86.278628:278141-280177|+ -            679 5935                 -            172     0.065    9.8   2.8   3   3      0.12        72   -0.1   0.1    54    74   473   493   471   499 0.87 NODE_1_length_385945_cov_86.278628_283 # 278141 # 280177 # 1 # ID=1_283;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.411
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/archaea_odb12/hmms/5935at2157.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_auto/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_auto/auto_lineage/run_archaea_odb12/hmmer_output/5935at2157.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/archaea_odb12/hmms/5935at2157.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_auto/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Mon Apr 20 03:15:05 2026
# [ok]
