#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_34_length_13809_cov_53.503775:11480-13090|-   -            537 52769                -            483  2.8e-203  673.8   0.2   1   1  6.2e-206  3.2e-203  673.6   0.2     1   481    12   528    12   530 0.91 NODE_34_length_13809_cov_53.503775_13 # 11480 # 13090 # -1 # ID=34_13;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.401
NODE_2_length_304403_cov_65.784473:170773-171849|+ -            359 52769                -            483   6.2e-06   23.0   0.1   1   3    0.0038         2    4.9   0.0   259   334    49   125    31   132 0.86 NODE_2_length_304403_cov_65.784473_163 # 170773 # 171849 # 1 # ID=2_163;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.408
NODE_2_length_304403_cov_65.784473:170773-171849|+ -            359 52769                -            483   6.2e-06   23.0   0.1   2   3   2.4e-05     0.012   12.1   0.0   300   355   201   255   173   269 0.74 NODE_2_length_304403_cov_65.784473_163 # 170773 # 171849 # 1 # ID=2_163;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.408
NODE_2_length_304403_cov_65.784473:170773-171849|+ -            359 52769                -            483   6.2e-06   23.0   0.1   3   3     0.019       9.8    2.6   0.0   420   481   289   351   276   353 0.80 NODE_2_length_304403_cov_65.784473_163 # 170773 # 171849 # 1 # ID=2_163;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.408
NODE_23_length_33126_cov_91.045387:24191-24586|-   -            132 52769                -            483    0.0026   14.3   0.1   1   2   1.1e-05    0.0055   13.3   0.1   106   165    13    75     1    81 0.78 NODE_23_length_33126_cov_91.045387_21 # 24191 # 24586 # -1 # ID=23_21;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.419
NODE_23_length_33126_cov_91.045387:24191-24586|-   -            132 52769                -            483    0.0026   14.3   0.1   2   2       0.2     1e+02   -0.8   0.0   291   329    74   112    68   122 0.77 NODE_23_length_33126_cov_91.045387_21 # 24191 # 24586 # -1 # ID=23_21;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.419
NODE_3_length_223274_cov_181.317177:2-1567|+       -            522 52769                -            483    0.0055   13.3   0.1   1   2   5.4e-05     0.028   10.9   0.0   300   356    44    99    32   127 0.76 NODE_3_length_223274_cov_181.317177_1 # 2 # 1567 # 1 # ID=3_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.434
NODE_3_length_223274_cov_181.317177:2-1567|+       -            522 52769                -            483    0.0055   13.3   0.1   2   2      0.18        92   -0.7   0.0   329   441   214   324   207   332 0.75 NODE_3_length_223274_cov_181.317177_1 # 2 # 1567 # 1 # ID=3_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.434
NODE_16_length_62801_cov_61.371830:22112-23677|-   -            522 52769                -            483    0.0089   12.6   0.2   1   3   0.00014     0.072    9.6   0.0   311   355    54    98    37   141 0.69 NODE_16_length_62801_cov_61.371830_22 # 22112 # 23677 # -1 # ID=16_22;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.427
NODE_16_length_62801_cov_61.371830:22112-23677|-   -            522 52769                -            483    0.0089   12.6   0.2   2   3      0.45   2.3e+02   -2.0   0.0   445   465   161   181   144   185 0.76 NODE_16_length_62801_cov_61.371830_22 # 22112 # 23677 # -1 # ID=16_22;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.427
NODE_16_length_62801_cov_61.371830:22112-23677|-   -            522 52769                -            483    0.0089   12.6   0.2   3   3      0.18        93   -0.7   0.0   328   442   213   325   208   332 0.78 NODE_16_length_62801_cov_61.371830_22 # 22112 # 23677 # -1 # ID=16_22;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.427
NODE_2_length_304403_cov_65.784473:17093-17764|+   -            224 52769                -            483     0.029   10.9   0.0   1   1   8.4e-05     0.043   10.3   0.0   299   352    31    92    18    96 0.64 NODE_2_length_304403_cov_65.784473_19 # 17093 # 17764 # 1 # ID=2_19;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.421
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/archaea_odb12/hmms/52769at2157.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_auto/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_auto/auto_lineage/run_archaea_odb12/hmmer_output/52769at2157.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/archaea_odb12/hmms/52769at2157.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_auto/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Mon Apr 20 03:15:05 2026
# [ok]
