Assembly	scaffolds
# misassemblies	4
  # contig misassemblies	4
    # c. relocations	1
    # c. translocations	3
    # c. inversions	0
  # scaffold misassemblies	0
    # s. relocations	0
    # s. translocations	0
    # s. inversions	0
# misassembled contigs	3
Misassembled contigs length	307283
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# mismatches	1585
# indels	228
    # indels (<= 5 bp)	212
    # indels (> 5 bp)	16
Indels length	950
