Assembly	efaecium_e745_flye_pacbio_pilon
# contigs (>= 0 bp)	11
# contigs (>= 1000 bp)	11
# contigs (>= 5000 bp)	10
# contigs (>= 10000 bp)	10
# contigs (>= 25000 bp)	6
# contigs (>= 50000 bp)	3
Total length (>= 0 bp)	3139688
Total length (>= 1000 bp)	3139688
Total length (>= 5000 bp)	3136046
Total length (>= 10000 bp)	3136046
Total length (>= 25000 bp)	3075641
Total length (>= 50000 bp)	2977407
# contigs	11
Largest contig	1415042
Total length	3139688
Reference length	3168410
GC (%)	37.82
Reference GC (%)	37.70
N50	1362979
NG50	1362979
N90	199386
NG90	199386
auN	1243453.2
auNG	1232181.2
L50	2
LG50	2
L90	3
LG90	3
# misassemblies	4
# misassembled contigs	3
Misassembled contigs length	257216
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 2 part
Unaligned length	4200
Genome fraction (%)	97.544
Duplication ratio	1.014
# N's per 100 kbp	0.00
# mismatches per 100 kbp	25.36
# indels per 100 kbp	50.97
# genomic features	3308 + 15 part
Largest alignment	1415042
Total aligned length	3134984
NA50	1362979
NGA50	1362979
NA90	188646
NGA90	188646
auNA	1241925.8
auNGA	1230667.6
LA50	2
LGA50	2
LA90	3
LGA90	3
