#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_2:1012663-1014672|+ -            670 599                  -            669         0 1419.4   3.5   1   1         0         0 1419.3   3.5     1   669     1   669     1   669 1.00 contig_2_974 # 1012663 # 1014672 # 1 # ID=5_974;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.394
contig_2:1092407-1095052|+ -            882 599                  -            669   3.1e-29   99.5   0.8   1   2   1.2e-15   6.2e-13   45.6   0.1     5   125    39   177    35   197 0.80 contig_2_1044 # 1092407 # 1095052 # 1 # ID=5_1044;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.405
contig_2:1092407-1095052|+ -            882 599                  -            669   3.1e-29   99.5   0.8   2   2   1.1e-17   5.8e-15   52.3   0.1   236   515   449   726   440   749 0.79 contig_2_1044 # 1092407 # 1095052 # 1 # ID=5_1044;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.405
contig_1:143310-145724|+   -            805 599                  -            669   1.6e-25   87.2   2.9   1   2     5e-16   2.5e-13   46.9   0.0     3   197    29   218    28   228 0.84 contig_1_130 # 143310 # 145724 # 1 # ID=1_130;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
contig_1:143310-145724|+   -            805 599                  -            669   1.6e-25   87.2   2.9   2   2   9.1e-13   4.6e-10   36.1   2.3   255   398   514   671   502   698 0.67 contig_1_130 # 143310 # 145724 # 1 # ID=1_130;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
contig_2:862624-865422|+   -            933 599                  -            669   2.3e-19   66.8   0.6   1   2   5.1e-11   2.6e-08   30.3   0.0    14   142    57   199    45   221 0.78 contig_2_810 # 862624 # 865422 # 1 # ID=5_810;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.384
contig_2:862624-865422|+   -            933 599                  -            669   2.3e-19   66.8   0.6   2   2   3.1e-12   1.6e-09   34.4   0.4   295   511   578   795   538   835 0.79 contig_2_810 # 862624 # 865422 # 1 # ID=5_810;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.384
contig_1:50764-52176|+     -            471 599                  -            669   2.1e-09   33.9   1.3   1   2   8.9e-11   4.5e-08   29.5   0.2     7   129    25   144    20   161 0.85 contig_1_57 # 50764 # 52176 # 1 # ID=1_57;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.405
contig_1:50764-52176|+     -            471 599                  -            669   2.1e-09   33.9   1.3   2   2    0.0087       4.4    3.1   0.0   306   336   267   297   252   390 0.90 contig_1_57 # 50764 # 52176 # 1 # ID=1_57;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.405
contig_1:786831-789251|+   -            807 599                  -            669   0.00038   16.5   0.3   1   3   3.4e-06    0.0017   14.4   0.1   572   648    46   125    36   142 0.80 contig_1_745 # 786831 # 789251 # 1 # ID=1_745;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.392
contig_1:786831-789251|+   -            807 599                  -            669   0.00038   16.5   0.3   2   3      0.46   2.3e+02   -2.6   0.0   513   527   150   164   145   172 0.84 contig_1_745 # 786831 # 789251 # 1 # ID=1_745;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.392
contig_1:786831-789251|+   -            807 599                  -            669   0.00038   16.5   0.3   3   3      0.32   1.6e+02   -2.1   0.0   454   495   411   449   400   452 0.73 contig_1_745 # 786831 # 789251 # 1 # ID=1_745;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.392
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/599at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/599at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/599at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:19:31 2026
# [ok]
