#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_2:862624-865422|+   -            933 27414                -            927         0 1924.4   3.3   1   1         0         0 1924.2   3.3     1   927     1   930     1   930 0.99 contig_2_810 # 862624 # 865422 # 1 # ID=5_810;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.384
contig_2:1092407-1095052|+ -            882 27414                -            927     2e-93  311.3   7.5   1   3   4.4e-32   2.7e-29   99.0   0.1    24   250    17   239     5   251 0.90 contig_2_1044 # 1092407 # 1095052 # 1 # ID=5_1044;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.405
contig_2:1092407-1095052|+ -            882 27414                -            927     2e-93  311.3   7.5   2   3   9.1e-26   5.5e-23   78.1   0.7   299   473   252   430   242   436 0.92 contig_2_1044 # 1092407 # 1095052 # 1 # ID=5_1044;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.405
contig_2:1092407-1095052|+ -            882 27414                -            927     2e-93  311.3   7.5   3   3   1.3e-43   7.9e-41  137.2   0.1   514   814   439   738   431   775 0.82 contig_2_1044 # 1092407 # 1095052 # 1 # ID=5_1044;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.405
contig_1:143310-145724|+   -            805 27414                -            927   2.8e-36  122.1  16.7   1   6     3e-17   1.8e-14   50.0   0.8    19   197     4   169     1   175 0.88 contig_1_130 # 143310 # 145724 # 1 # ID=1_130;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
contig_1:143310-145724|+   -            805 27414                -            927   2.8e-36  122.1  16.7   2   6     0.029        18    0.3   0.0   402   430   182   210   172   222 0.86 contig_1_130 # 143310 # 145724 # 1 # ID=1_130;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
contig_1:143310-145724|+   -            805 27414                -            927   2.8e-36  122.1  16.7   3   6   1.4e-09   8.8e-07   24.5   0.2   222   371   236   388   229   406 0.83 contig_1_130 # 143310 # 145724 # 1 # ID=1_130;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
contig_1:143310-145724|+   -            805 27414                -            927   2.8e-36  122.1  16.7   4   6   3.1e-06    0.0019   13.5   0.5   442   474   411   440   388   445 0.69 contig_1_130 # 143310 # 145724 # 1 # ID=1_130;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
contig_1:143310-145724|+   -            805 27414                -            927   2.8e-36  122.1  16.7   5   6   1.5e-10     9e-08   27.8   0.0   569   619   552   602   508   620 0.80 contig_1_130 # 143310 # 145724 # 1 # ID=1_130;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
contig_1:143310-145724|+   -            805 27414                -            927   2.8e-36  122.1  16.7   6   6   5.1e-06    0.0031   12.8   0.1   685   788   639   737   624   775 0.76 contig_1_130 # 143310 # 145724 # 1 # ID=1_130;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
contig_2:1012663-1014672|+ -            670 27414                -            927   1.3e-17   60.4   0.5   1   2   1.5e-12   9.3e-10   34.4   0.5    47   202     4   147     2   176 0.80 contig_2_974 # 1012663 # 1014672 # 1 # ID=5_974;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.394
