#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:2641458-2642858|- -            467 27654                -            464    4e-270  893.9  19.6   1   1  5.6e-273  4.4e-270  893.7  19.6     1   464     1   466     1   466 0.98 tig00000001_2561 # 2641458 # 2642858 # -1 # ID=1_2561;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.385
tig00000001:2171536-2172297|+ -            254 27654                -            464   8.2e-32  108.2   5.1   1   2   3.4e-13   2.6e-10   37.3   0.3   267   332    10    88     3    92 0.75 tig00000001_2101 # 2171536 # 2172297 # 1 # ID=1_2101;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.399
tig00000001:2171536-2172297|+ -            254 27654                -            464   8.2e-32  108.2   5.1   2   2   5.2e-24     4e-21   72.9   0.7   339   443   132   232   117   241 0.90 tig00000001_2101 # 2171536 # 2172297 # 1 # ID=1_2101;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.399
tig00000001:2171048-2171518|+ -            157 27654                -            464     5e-24   82.5   0.0   1   1     9e-27   7.1e-24   82.0   0.0     7    96    63   155    55   156 0.87 tig00000001_2100 # 2171048 # 2171518 # 1 # ID=1_2100;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.397
tig00000001:69087-71321|+     -            745 27654                -            464   4.1e-07   26.8   0.0   1   5     0.011       8.2    2.7   0.1    51    76   140   165   129   182 0.86 tig00000001_59 # 69087 # 71321 # 1 # ID=1_59;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.401
tig00000001:69087-71321|+     -            745 27654                -            464   4.1e-07   26.8   0.0   2   5      0.21   1.7e+02   -1.6   0.0   265   286   207   227   200   268 0.72 tig00000001_59 # 69087 # 71321 # 1 # ID=1_59;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.401
tig00000001:69087-71321|+     -            745 27654                -            464   4.1e-07   26.8   0.0   3   5       3.3   2.6e+03   -5.6   2.8   142   185   370   413   341   417 0.55 tig00000001_59 # 69087 # 71321 # 1 # ID=1_59;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.401
tig00000001:69087-71321|+     -            745 27654                -            464   4.1e-07   26.8   0.0   4   5   5.2e-10   4.1e-07   26.8   0.0     5    74   428   492   423   514 0.84 tig00000001_59 # 69087 # 71321 # 1 # ID=1_59;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.401
tig00000001:69087-71321|+     -            745 27654                -            464   4.1e-07   26.8   0.0   5   5      0.29   2.3e+02   -2.1   0.0   340   387   623   666   620   703 0.64 tig00000001_59 # 69087 # 71321 # 1 # ID=1_59;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.401
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/27654at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/canu_pacbio_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/canu_pacbio_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/27654at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/27654at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/canu_pacbio_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:15:50 2026
# [ok]
