#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_1:229765-230109|-   -            115 14868                -            115   7.2e-52  171.9   0.4   1   1     2e-54   7.8e-52  171.8   0.4     1   112     1   112     1   114 0.98 contig_1_188 # 229765 # 230109 # -1 # ID=1_188;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.380
contig_2:1262982-1263584|+ -            201 14868                -            115   3.6e-09   34.3   7.3   1   3   4.1e-11   1.6e-08   32.3   0.1     4    62     6    64     3    90 0.79 contig_2_1216 # 1262982 # 1263584 # 1 # ID=5_1216;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
contig_2:1262982-1263584|+ -            201 14868                -            115   3.6e-09   34.3   7.3   2   3      0.04        15    3.3   0.2    25    70    93   138    77   149 0.60 contig_2_1216 # 1262982 # 1263584 # 1 # ID=5_1216;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
contig_2:1262982-1263584|+ -            201 14868                -            115   3.6e-09   34.3   7.3   3   3      0.11        44    1.8   0.8    45    69   167   191   136   199 0.49 contig_2_1216 # 1262982 # 1263584 # 1 # ID=5_1216;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
contig_2:608651-609313|-   -            221 14868                -            115    0.0042   14.7   4.9   1   2   0.00038      0.14    9.8   0.2     4    76    25    99    24   109 0.82 contig_2_569 # 608651 # 609313 # -1 # ID=5_569;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
contig_2:608651-609313|-   -            221 14868                -            115    0.0042   14.7   4.9   2   2    0.0031       1.2    6.9   0.7    38    85   143   189   115   213 0.83 contig_2_569 # 608651 # 609313 # -1 # ID=5_569;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
contig_1:745640-746086|+   -            149 14868                -            115      0.13   10.0   3.7   1   2      0.47   1.8e+02   -0.2   0.3    43    43    34    34     6    66 0.51 contig_1_701 # 745640 # 746086 # 1 # ID=1_701;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.389
contig_1:745640-746086|+   -            149 14868                -            115      0.13   10.0   3.7   2   2   0.00017     0.065   10.9   0.3    42    83    82   123    72   124 0.87 contig_1_701 # 745640 # 746086 # 1 # ID=1_701;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.389
contig_2:564582-565478|+   -            299 14868                -            115      0.41    8.3  12.4   1   2     4e-05     0.015   13.0   3.1    14    78    40   104    35   164 0.86 contig_2_527 # 564582 # 565478 # 1 # ID=5_527;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
contig_2:564582-565478|+   -            299 14868                -            115      0.41    8.3  12.4   2   2      0.45   1.7e+02   -0.1   1.9    37    69   207   239   196   253 0.77 contig_2_527 # 564582 # 565478 # 1 # ID=5_527;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
contig_4:13190-14056|+     -            289 14868                -            115      0.44    8.2   6.5   1   1     0.002      0.76    7.5   6.5    38   110    99   170    72   174 0.88 contig_4_16 # 13190 # 14056 # 1 # ID=7_16;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.304
