#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_1:449459-451693|-   -            745 19000                -            742         0 1580.6  16.7   1   1         0         0 1580.4  16.7     1   740     1   738     1   740 0.99 contig_1_432 # 449459 # 451693 # -1 # ID=1_432;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.401
contig_2:104509-107001|-   -            831 19000                -            742  6.2e-223  739.6  17.5   1   1  1.9e-225  8.4e-223  739.2  17.5    86   709   159   796   127   814 0.92 contig_2_89 # 104509 # 107001 # -1 # ID=5_89;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.403
contig_1:1037958-1040567|- -            870 19000                -            742  7.4e-217  719.5  16.8   1   2  4.2e-105  1.8e-102  341.3   8.5    89   375   145   436   129   479 0.86 contig_1_994 # 1037958 # 1040567 # -1 # ID=1_994;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.400
contig_1:1037958-1040567|- -            870 19000                -            742  7.4e-217  719.5  16.8   2   2  1.1e-117  4.6e-115  383.0   1.5   359   706   480   836   467   864 0.91 contig_1_994 # 1037958 # 1040567 # -1 # ID=1_994;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.400
contig_1:642850-644250|+   -            467 19000                -            742   8.7e-09   31.6   4.5   1   3   8.1e-10   3.5e-07   26.3   0.1   434   494     9    74     2   115 0.83 contig_1_607 # 642850 # 644250 # 1 # ID=1_607;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.385
contig_1:642850-644250|+   -            467 19000                -            742   8.7e-09   31.6   4.5   2   3      0.26   1.2e+02   -1.9   0.1   210   252   268   305   261   327 0.58 contig_1_607 # 642850 # 644250 # 1 # ID=1_607;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.385
contig_1:642850-644250|+   -            467 19000                -            742   8.7e-09   31.6   4.5   3   3   0.00084      0.37    6.4   0.2   625   706   342   432   334   461 0.80 contig_1_607 # 642850 # 644250 # 1 # ID=1_607;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.385
contig_1:246542-247828|-   -            429 19000                -            742   0.00044   16.0   0.2   1   2    0.0033       1.5    4.4   0.0   118   164    11    60     5    65 0.63 contig_1_208 # 246542 # 247828 # -1 # ID=1_208;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.445
contig_1:246542-247828|-   -            429 19000                -            742   0.00044   16.0   0.2   2   2   9.9e-05     0.043    9.5   0.1   202   282    79   148    73   169 0.81 contig_1_208 # 246542 # 247828 # -1 # ID=1_208;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.445
contig_2:1174122-1175900|+ -            593 19000                -            742   0.00057   15.7   0.9   1   1   2.5e-06    0.0011   14.7   0.9   361   397   201   237   187   247 0.80 contig_2_1125 # 1174122 # 1175900 # 1 # ID=5_1125;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.387
contig_10:19529-19891|+    -            121 19000                -            742      0.01   11.5   0.1   1   1   2.4e-05      0.01   11.5   0.1    21    87    10    79     3   108 0.60 contig_10_27 # 19529 # 19891 # 1 # ID=2_27;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.377
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19000at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/flye_pacbio_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/flye_pacbio_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/19000at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19000at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/flye_pacbio_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:14:04 2026
# [ok]
