#                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_8_length_133129_cov_72.724935:76408-78417|-  -            670 9810191              -            634  1.7e-230  764.4   0.0   1   1  7.4e-233  3.2e-230  763.5   0.0     2   621     3   649     2   669 0.89 NODE_8_length_133129_cov_72.724935_69 # 76408 # 78417 # -1 # ID=8_69;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.395
NODE_18_length_58283_cov_66.770060:54467-57112|-  -            882 9810191              -            634   9.5e-40  134.3   0.8   1   2   9.1e-15     4e-12   43.0   0.0     2   140    37   194    36   206 0.80 NODE_18_length_58283_cov_66.770060_59 # 54467 # 57112 # -1 # ID=18_59;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.406
NODE_18_length_58283_cov_66.770060:54467-57112|-  -            882 9810191              -            634   9.5e-40  134.3   0.8   2   2   7.1e-26   3.1e-23   79.7   0.4   177   494   354   702   314   717 0.74 NODE_18_length_58283_cov_66.770060_59 # 54467 # 57112 # -1 # ID=18_59;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.406
NODE_10_length_119333_cov_96.609128:83855-86269|+ -            805 9810191              -            634   3.8e-35  119.1   1.3   1   3   1.8e-22   8.1e-20   68.5   0.0     3   221    30   223    28   229 0.83 NODE_10_length_119333_cov_96.609128_64 # 83855 # 86269 # 1 # ID=10_64;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_10_length_119333_cov_96.609128:83855-86269|+ -            805 9810191              -            634   3.8e-35  119.1   1.3   2   3     0.018         8    2.4   0.2   195   239   392   428   385   432 0.74 NODE_10_length_119333_cov_96.609128_64 # 83855 # 86269 # 1 # ID=10_64;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_10_length_119333_cov_96.609128:83855-86269|+ -            805 9810191              -            634   3.8e-35  119.1   1.3   3   3   3.9e-13   1.7e-10   37.7   0.2   268   437   518   688   509   733 0.75 NODE_10_length_119333_cov_96.609128_64 # 83855 # 86269 # 1 # ID=10_64;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_7_length_162800_cov_68.413407:67893-70691|+  -            933 9810191              -            634   1.9e-30  103.6   1.0   1   3   3.6e-16   1.6e-13   47.7   0.0     5   140    49   199    45   207 0.77 NODE_7_length_162800_cov_68.413407_70 # 67893 # 70691 # 1 # ID=7_70;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.384
NODE_7_length_162800_cov_68.413407:67893-70691|+  -            933 9810191              -            634   1.9e-30  103.6   1.0   2   3   4.4e-05     0.019   11.0   0.1   174   239   399   462   390   466 0.86 NODE_7_length_162800_cov_68.413407_70 # 67893 # 70691 # 1 # ID=7_70;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.384
NODE_7_length_162800_cov_68.413407:67893-70691|+  -            933 9810191              -            634   1.9e-30  103.6   1.0   3   3   2.9e-14   1.3e-11   41.4   0.3   301   516   573   795   516   823 0.72 NODE_7_length_162800_cov_68.413407_70 # 67893 # 70691 # 1 # ID=7_70;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.384
NODE_13_length_81038_cov_67.502957:6861-8273|-    -            471 9810191              -            634   5.1e-20   69.1   2.9   1   2   8.7e-13   3.8e-10   36.5   0.1    15    90    32   106    24   154 0.90 NODE_13_length_81038_cov_67.502957_10 # 6861 # 8273 # -1 # ID=13_10;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.405
NODE_13_length_81038_cov_67.502957:6861-8273|-    -            471 9810191              -            634   5.1e-20   69.1   2.9   2   2   1.2e-11   5.4e-09   32.7   0.7   306   443   254   389   231   416 0.77 NODE_13_length_81038_cov_67.502957_10 # 6861 # 8273 # -1 # ID=13_10;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.405
NODE_2_length_304403_cov_65.784473:96333-98753|+  -            807 9810191              -            634    0.0011   15.1   0.1   1   1   5.6e-06    0.0024   14.0   0.1   551   620    45   124    10   135 0.81 NODE_2_length_304403_cov_65.784473_91 # 96333 # 98753 # 1 # ID=2_91;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.392
