#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:13506-15011|-     -            502 21416                -            488  2.1e-290  961.0  13.1   1   1    1e-292  2.4e-290  960.8  13.1     2   487     7   495     6   496 0.99 tig00000001_8 # 13506 # 15011 # -1 # ID=1_8;partial=00;start_type=GTG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.365
tig00000001:187781-189616|-   -            612 21416                -            488   3.2e-49  165.5  13.4   1   3     6e-08   1.4e-05   21.5   3.3   109   261   101   251     8   269 0.74 tig00000001_205 # 187781 # 189616 # -1 # ID=1_205;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.403
tig00000001:187781-189616|-   -            612 21416                -            488   3.2e-49  165.5  13.4   2   3      0.45   1.1e+02   -1.1   0.2    43   115   274   346   267   376 0.88 tig00000001_205 # 187781 # 189616 # -1 # ID=1_205;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.403
tig00000001:187781-189616|-   -            612 21416                -            488   3.2e-49  165.5  13.4   3   3   6.9e-47   1.7e-44  150.0   0.4   263   486   376   601   355   603 0.91 tig00000001_205 # 187781 # 189616 # -1 # ID=1_205;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.403
tig00000001:2373963-2375303|- -            447 21416                -            488   1.7e-43  146.6   7.3   1   2   5.8e-05     0.014   11.7   0.8   131   216   123   214    73   218 0.74 tig00000001_2306 # 2373963 # 2375303 # -1 # ID=1_2306;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.365
tig00000001:2373963-2375303|- -            447 21416                -            488   1.7e-43  146.6   7.3   2   2   1.8e-43   4.4e-41  138.7   1.1   265   487   220   442   215   443 0.92 tig00000001_2306 # 2373963 # 2375303 # -1 # ID=1_2306;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.365
tig00000001:1907337-1909073|- -            579 21416                -            488   5.5e-41  138.4   1.1   1   3       1.4   3.3e+02   -2.7   0.3   106   143    72   107    33   115 0.53 tig00000001_1826 # 1907337 # 1909073 # -1 # ID=1_1826;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.408
tig00000001:1907337-1909073|- -            579 21416                -            488   5.5e-41  138.4   1.1   2   3     0.097        23    1.1   0.1   199   271   177   249   166   273 0.67 tig00000001_1826 # 1907337 # 1909073 # -1 # ID=1_1826;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.408
tig00000001:1907337-1909073|- -            579 21416                -            488   5.5e-41  138.4   1.1   3   3   2.3e-43   5.5e-41  138.4   1.1   256   486   350   576   343   578 0.94 tig00000001_1826 # 1907337 # 1909073 # -1 # ID=1_1826;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.408
tig00000001:1014871-1015914|+ -            348 21416                -            488   1.1e-33  114.2   3.4   1   1   6.4e-36   1.5e-33  113.8   3.4   189   483    53   342    40   346 0.92 tig00000001_958 # 1014871 # 1015914 # 1 # ID=1_958;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.385
tig00000001:631472-632680|+   -            403 21416                -            488   1.9e-24   83.8   1.3   1   1   1.1e-26   2.7e-24   83.3   1.3   260   487   158   385   135   386 0.85 tig00000001_578 # 631472 # 632680 # 1 # ID=1_578;partial=00;start_type=TTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.391
tig00000001:2000840-2001397|+ -            186 21416                -            488   1.9e-23   80.5   2.1   1   1   9.3e-26   2.2e-23   80.3   2.1   312   486     4   178     1   180 0.84 tig00000001_1921 # 2000840 # 2001397 # 1 # ID=1_1921;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.348
tig00000005:3665-4759|+       -            365 21416                -            488   2.7e-21   73.4   5.9   1   1   1.5e-23   3.6e-21   73.0   5.9   180   486    50   353    35   355 0.82 tig00000005_7 # 3665 # 4759 # 1 # ID=5_7;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.422
tig00000005:36816-37181|+     -            122 21416                -            488   4.5e-18   62.8   0.1   1   1   2.2e-20   5.2e-18   62.6   0.1   386   486    12   110     6   112 0.92 tig00000005_47 # 36816 # 37181 # 1 # ID=5_47;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.470
tig00000001:1120404-1121429|+ -            342 21416                -            488   3.1e-16   56.7   0.4   1   1   2.6e-18   6.3e-16   55.7   0.3   386   487   232   333    98   334 0.86 tig00000001_1056 # 1120404 # 1121429 # 1 # ID=1_1056;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.376
tig00000001:505683-506579|-   -            299 21416                -            488   2.2e-14   50.6   2.4   1   1     1e-16   2.5e-14   50.4   2.4   262   485    74   293     2   296 0.71 tig00000001_477 # 505683 # 506579 # -1 # ID=1_477;partial=00;start_type=TTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.398
tig00000001:1999950-2000840|+ -            297 21416                -            488   1.7e-10   37.8   0.0   1   1   1.2e-12   2.9e-10   37.0   0.0   195   291   180   281   156   286 0.85 tig00000001_1920 # 1999950 # 2000840 # 1 # ID=1_1920;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.383
tig00000001:2600301-2601086|+ -            262 21416                -            488    0.0027   14.0   1.0   1   2      0.88   2.1e+02   -2.1   0.1   305   349    50    94    29   109 0.62 tig00000001_2519 # 2600301 # 2601086 # 1 # ID=1_2519;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.372
