#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:1807375-1807803|+ -            143 19279                -            138   1.6e-80  265.4  10.2   1   1   7.9e-83   1.8e-80  265.2  10.2     2   138     3   142     2   142 0.97 tig00000001_1733 # 1807375 # 1807803 # 1 # ID=1_1733;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.357
tig00000001:2463860-2464306|- -            149 19279                -            138   4.5e-27   92.2   1.5   1   1   2.3e-29   5.1e-27   92.0   1.5     2   138     2   140     1   140 0.93 tig00000001_2390 # 2463860 # 2464306 # -1 # ID=1_2390;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.374
tig00000001:2686224-2686691|- -            156 19279                -            138   3.6e-18   63.4   3.3   1   1   1.9e-20   4.2e-18   63.2   3.3     4   137     5   145     2   146 0.85 tig00000001_2608 # 2686224 # 2686691 # -1 # ID=1_2608;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.378
tig00000007:12329-12556|-     -             76 19279                -            138     0.015   12.8   0.2   1   1     7e-05     0.016   12.7   0.2    36    69    23    57     2    65 0.81 tig00000007_21 # 12329 # 12556 # -1 # ID=7_21;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.338
tig00000007:1508-1801|-       -             98 19279                -            138     0.017   12.6   0.1   1   1   7.7e-05     0.017   12.6   0.1    36    69    23    57     2    90 0.83 tig00000007_3 # 1508 # 1801 # -1 # ID=7_3;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.344
tig00000002:66274-66558|-     -             95 19279                -            138     0.018   12.5   0.2   1   1     8e-05     0.018   12.5   0.2    36    69    23    57     2    83 0.81 tig00000002_73 # 66274 # 66558 # -1 # ID=2_73;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.344
tig00000002:191624-192304|+   -            227 19279                -            138     0.026   12.0   1.6   1   2   0.00064      0.14    9.6   0.2    36    69    23    57     3    76 0.83 tig00000002_186 # 191624 # 192304 # 1 # ID=2_186;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
tig00000002:191624-192304|+   -            227 19279                -            138     0.026   12.0   1.6   2   2      0.19        43    1.6   0.1     4    33   136   167   133   212 0.72 tig00000002_186 # 191624 # 192304 # 1 # ID=2_186;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
tig00000005:2137-2817|+       -            227 19279                -            138     0.029   11.9   1.9   1   2   0.00059      0.13    9.7   0.3    36    69    23    57     3    92 0.85 tig00000005_5 # 2137 # 2817 # 1 # ID=5_5;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.373
tig00000005:2137-2817|+       -            227 19279                -            138     0.029   11.9   1.9   2   2      0.19        43    1.6   0.1     4    33   136   167   133   212 0.72 tig00000005_5 # 2137 # 2817 # 1 # ID=5_5;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.373
tig00000005:21866-22546|+     -            227 19279                -            138     0.029   11.9   1.9   1   2   0.00059      0.13    9.7   0.3    36    69    23    57     3    92 0.85 tig00000005_29 # 21866 # 22546 # 1 # ID=5_29;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
tig00000005:21866-22546|+     -            227 19279                -            138     0.029   11.9   1.9   2   2      0.19        43    1.6   0.1     4    33   136   167   133   212 0.72 tig00000005_29 # 21866 # 22546 # 1 # ID=5_29;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
tig00000005:24611-25291|+     -            227 19279                -            138     0.029   11.9   1.9   1   2   0.00059      0.13    9.7   0.3    36    69    23    57     3    92 0.85 tig00000005_32 # 24611 # 25291 # 1 # ID=5_32;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
tig00000005:24611-25291|+     -            227 19279                -            138     0.029   11.9   1.9   2   2      0.19        43    1.6   0.1     4    33   136   167   133   212 0.72 tig00000005_32 # 24611 # 25291 # 1 # ID=5_32;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
tig00000005:29596-30276|+     -            227 19279                -            138     0.029   11.9   1.9   1   2   0.00059      0.13    9.7   0.3    36    69    23    57     3    92 0.85 tig00000005_39 # 29596 # 30276 # 1 # ID=5_39;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
tig00000005:29596-30276|+     -            227 19279                -            138     0.029   11.9   1.9   2   2      0.19        43    1.6   0.1     4    33   136   167   133   212 0.72 tig00000005_39 # 29596 # 30276 # 1 # ID=5_39;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
tig00000005:34561-35241|+     -            227 19279                -            138     0.029   11.9   1.9   1   2   0.00059      0.13    9.7   0.3    36    69    23    57     3    92 0.85 tig00000005_45 # 34561 # 35241 # 1 # ID=5_45;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.373
tig00000005:34561-35241|+     -            227 19279                -            138     0.029   11.9   1.9   2   2      0.19        43    1.6   0.1     4    33   136   167   133   212 0.72 tig00000005_45 # 34561 # 35241 # 1 # ID=5_45;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.373
tig00000005:7850-8530|-       -            227 19279                -            138     0.029   11.9   1.9   1   2   0.00059      0.13    9.7   0.3    36    69    23    57     3    92 0.85 tig00000005_11 # 7850 # 8530 # -1 # ID=5_11;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
tig00000005:7850-8530|-       -            227 19279                -            138     0.029   11.9   1.9   2   2      0.19        43    1.6   0.1     4    33   136   167   133   212 0.72 tig00000005_11 # 7850 # 8530 # -1 # ID=5_11;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
tig00000005:13283-13963|-     -            227 19279                -            138     0.031   11.8   2.2   1   2   0.00055      0.12    9.8   0.4    36    69    23    57     3    92 0.85 tig00000005_19 # 13283 # 13963 # -1 # ID=5_19;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.373
tig00000005:13283-13963|-     -            227 19279                -            138     0.031   11.8   2.2   2   2      0.19        43    1.6   0.1     4    33   136   167   133   212 0.72 tig00000005_19 # 13283 # 13963 # -1 # ID=5_19;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.373
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19279at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/canu_pacbio_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/canu_pacbio_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/19279at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19279at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/canu_pacbio_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Mon Apr 20 03:09:44 2026
# [ok]
