#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:2171536-2172297|+ -            254 18070                -            415  1.2e-157  522.5   4.5   1   1  2.5e-160  1.3e-157  522.4   4.5   163   415     1   253     1   253 1.00 tig00000001_2101 # 2171536 # 2172297 # 1 # ID=1_2101;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.399
tig00000001:2171048-2171518|+ -            157 18070                -            415   1.5e-97  324.5   1.3   1   1  3.2e-100   1.7e-97  324.4   1.3     1   154     1   155     1   156 0.98 tig00000001_2100 # 2171048 # 2171518 # 1 # ID=1_2100;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.397
tig00000001:2641458-2642858|- -            467 18070                -            415   3.3e-57  191.6  12.4   1   3   8.7e-29   4.5e-26   89.1   0.3    63   181     7   123     2   138 0.92 tig00000001_2561 # 2641458 # 2642858 # -1 # ID=1_2561;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.385
tig00000001:2641458-2642858|- -            467 18070                -            415   3.3e-57  191.6  12.4   2   3   7.4e-11   3.9e-08   30.0   0.7   162   249   256   333   242   338 0.75 tig00000001_2561 # 2641458 # 2642858 # -1 # ID=1_2561;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.385
tig00000001:2641458-2642858|- -            467 18070                -            415   3.3e-57  191.6  12.4   3   3   6.9e-26   3.6e-23   79.5   0.5   293   400   340   451   334   461 0.89 tig00000001_2561 # 2641458 # 2642858 # -1 # ID=1_2561;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.385
tig00000001:2363363-2365591|+ -            743 18070                -            415   0.00097   15.5   0.0   1   1   3.5e-06    0.0018   14.6   0.0   101   139    42    80    27   109 0.86 tig00000001_2298 # 2363363 # 2365591 # 1 # ID=1_2298;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.400
tig00000001:405725-407836|-   -            704 18070                -            415    0.0025   14.1   0.0   1   1   1.2e-05    0.0061   12.9   0.0   113   190   224   295   211   317 0.85 tig00000001_381 # 405725 # 407836 # -1 # ID=1_381;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.425
tig00000001:1253945-1254418|+ -            158 18070                -            415    0.0099   12.2   0.2   1   2    0.0025       1.3    5.2   0.0   111   142    25    56    10    67 0.85 tig00000001_1179 # 1253945 # 1254418 # 1 # ID=1_1179;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.401
tig00000001:1253945-1254418|+ -            158 18070                -            415    0.0099   12.2   0.2   2   2    0.0022       1.2    5.4   0.0   310   354   110   154    98   156 0.82 tig00000001_1179 # 1253945 # 1254418 # 1 # ID=1_1179;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.401
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/18070at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/canu_pacbio_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/canu_pacbio_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/18070at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/18070at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/canu_pacbio_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 22 11:33:48 2026
# [ok]
