#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:1517535-1518638|- -            368 8656                 -            348   1.4e-25   87.6   0.0   1   1   4.6e-28   2.4e-25   86.8   0.0    14   317    10   322     1   333 0.84 tig00000001_1458 # 1517535 # 1518638 # -1 # ID=1_1458;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.399
tig00000001:2200484-2201548|+ -            355 8656                 -            348   1.1e-15   55.1   2.9   1   2   9.5e-18     5e-15   52.9   0.1    13   190    12   201     4   226 0.78 tig00000001_2124 # 2200484 # 2201548 # 1 # ID=1_2124;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.415
tig00000001:2200484-2201548|+ -            355 8656                 -            348   1.1e-15   55.1   2.9   2   2     0.021        11    2.4   0.5   251   278   244   272   243   323 0.78 tig00000001_2124 # 2200484 # 2201548 # 1 # ID=1_2124;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.415
tig00000001:868079-869230|+   -            384 8656                 -            348   2.2e-09   34.3   1.8   1   3   1.7e-11   8.9e-09   32.3   0.1     6   108     3   108     1   120 0.80 tig00000001_813 # 868079 # 869230 # 1 # ID=1_813;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.414
tig00000001:868079-869230|+   -            384 8656                 -            348   2.2e-09   34.3   1.8   2   3      0.67   3.5e+02   -2.5   0.1   144   168   168   192   129   200 0.64 tig00000001_813 # 868079 # 869230 # 1 # ID=1_813;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.414
tig00000001:868079-869230|+   -            384 8656                 -            348   2.2e-09   34.3   1.8   3   3     0.079        42    0.5   0.0   285   312   323   350   310   357 0.84 tig00000001_813 # 868079 # 869230 # 1 # ID=1_813;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.414
tig00000001:2280429-2281226|+ -            266 8656                 -            348     1e-07   28.8   0.0   1   1   3.3e-10   1.7e-07   28.1   0.0   107   314     5   227     2   238 0.75 tig00000001_2205 # 2280429 # 2281226 # 1 # ID=1_2205;partial=00;start_type=GTG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.383
tig00000001:859943-862540|+   -            866 8656                 -            348   5.4e-07   26.5   0.9   1   3      0.16        83   -0.5   0.4    18   106   235   320   225   327 0.59 tig00000001_806 # 859943 # 862540 # 1 # ID=1_806;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.409
tig00000001:859943-862540|+   -            866 8656                 -            348   5.4e-07   26.5   0.9   2   3   1.2e-06   0.00061   16.4   0.0     3   105   457   561   455   572 0.75 tig00000001_806 # 859943 # 862540 # 1 # ID=1_806;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.409
tig00000001:859943-862540|+   -            866 8656                 -            348   5.4e-07   26.5   0.9   3   3     0.002         1    5.8   0.1   110   211   594   691   579   724 0.68 tig00000001_806 # 859943 # 862540 # 1 # ID=1_806;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.409
tig00000001:2668577-2669623|- -            349 8656                 -            348     0.008   12.8   0.0   1   1   2.2e-05     0.011   12.2   0.0    24   111    20   113    11   166 0.72 tig00000001_2589 # 2668577 # 2669623 # -1 # ID=1_2589;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.372
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/archaea_odb12/hmms/8656at2157.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/auto_lineage/run_archaea_odb12/hmmer_output/8656at2157.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/archaea_odb12/hmms/8656at2157.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 22 11:36:04 2026
# [ok]
