#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:1529222-1531231|+ -            670 371856               -            461   1.2e-96  321.7   0.3   1   1   2.8e-99   1.8e-96  321.1   0.3     2   446     7   493     6   498 0.87 tig00000001_1469 # 1529222 # 1531231 # 1 # ID=1_1469;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.394
tig00000001:375042-377456|-   -            805 371856               -            461   3.1e-25   86.2   0.4   1   3   2.9e-21   1.8e-18   64.0   0.0     8   188    39   222    35   226 0.93 tig00000001_365 # 375042 # 377456 # -1 # ID=1_365;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
tig00000001:375042-377456|-   -            805 371856               -            461   3.1e-25   86.2   0.4   2   3     0.019        12    1.9   0.1   166   207   392   429   377   433 0.75 tig00000001_365 # 375042 # 377456 # -1 # ID=1_365;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
tig00000001:375042-377456|-   -            805 371856               -            461   3.1e-25   86.2   0.4   3   3   2.6e-06    0.0016   14.7   0.2   269   443   563   723   513   731 0.71 tig00000001_365 # 375042 # 377456 # -1 # ID=1_365;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
tig00000001:1379184-1381982|+ -            933 371856               -            461   6.3e-23   78.7   1.8   1   3   1.9e-14   1.2e-11   41.5   0.0     7    76    55   125    49   202 0.70 tig00000001_1302 # 1379184 # 1381982 # 1 # ID=1_1302;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.384
tig00000001:1379184-1381982|+ -            933 371856               -            461   6.3e-23   78.7   1.8   2   3   1.6e-05      0.01   12.0   0.1   143   207   396   463   389   466 0.76 tig00000001_1302 # 1379184 # 1381982 # 1 # ID=1_1302;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.384
tig00000001:1379184-1381982|+ -            933 371856               -            461   6.3e-23   78.7   1.8   3   3   1.1e-08   6.7e-06   22.5   0.1   267   445   578   775   525   784 0.73 tig00000001_1302 # 1379184 # 1381982 # 1 # ID=1_1302;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.384
tig00000001:1608964-1611609|+ -            882 371856               -            461   3.1e-22   76.4   1.3   1   3   1.6e-09     1e-06   25.2   0.0     8   131    47   190    40   199 0.77 tig00000001_1540 # 1608964 # 1611609 # 1 # ID=1_1540;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.405
tig00000001:1608964-1611609|+ -            882 371856               -            461   3.1e-22   76.4   1.3   2   3   8.4e-05     0.052    9.7   0.2   146   219   352   435   343   439 0.60 tig00000001_1540 # 1608964 # 1611609 # 1 # ID=1_1540;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.405
tig00000001:1608964-1611609|+ -            882 371856               -            461   3.1e-22   76.4   1.3   3   3   1.9e-13   1.2e-10   38.1   0.1   228   446   468   704   442   713 0.77 tig00000001_1540 # 1608964 # 1611609 # 1 # ID=1_1540;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.405
tig00000001:468590-470002|-   -            471 371856               -            461   7.2e-14   48.8   4.3   1   2   9.6e-10     6e-07   26.0   0.1    12   123    33   145    25   183 0.75 tig00000001_438 # 468590 # 470002 # -1 # ID=1_438;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.405
tig00000001:468590-470002|-   -            471 371856               -            461   7.2e-14   48.8   4.3   2   2   3.8e-09   2.4e-06   24.0   1.0   270   400   257   388   249   399 0.76 tig00000001_438 # 468590 # 470002 # -1 # ID=1_438;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.405
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/archaea_odb12/hmms/371856at2157.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/auto_lineage/run_archaea_odb12/hmmer_output/371856at2157.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/archaea_odb12/hmms/371856at2157.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 22 11:35:56 2026
# [ok]
