#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:1806038-1806331|+ -             98 5935                 -            172    0.0004   17.0   0.4   1   1   8.8e-07   0.00055   16.6   0.4     5    69     7    71     4    96 0.90 tig00000001_1731 # 1806038 # 1806331 # 1 # ID=1_1731;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.388
tig00000001:493339-493806|+   -            156 5935                 -            172    0.0013   15.3   0.1   1   2     1e-05    0.0065   13.1   0.0    32    66    24    58    10    65 0.86 tig00000001_464 # 493339 # 493806 # 1 # ID=1_464;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.387
tig00000001:493339-493806|+   -            156 5935                 -            172    0.0013   15.3   0.1   2   2      0.15        94   -0.5   0.1    90   109   104   123   100   129 0.58 tig00000001_464 # 493339 # 493806 # 1 # ID=1_464;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.387
tig00000001:2029396-2029818|- -            141 5935                 -            172     0.011   12.3   0.8   1   2   0.00013     0.082    9.5   0.1   105   126    11    32     3    40 0.80 tig00000001_1950 # 2029396 # 2029818 # -1 # ID=1_1950;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.355
tig00000001:2029396-2029818|- -            141 5935                 -            172     0.011   12.3   0.8   2   2     0.062        39    0.8   0.1   109   120    60    71    44    80 0.81 tig00000001_1950 # 2029396 # 2029818 # -1 # ID=1_1950;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.355
tig00000001:1570987-1571325|+ -            113 5935                 -            172     0.014   12.0   0.6   1   1   4.1e-05     0.026   11.1   0.6   117   153     6    40     4    43 0.89 tig00000001_1504 # 1570987 # 1571325 # 1 # ID=1_1504;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.401
tig00000001:2182728-2184764|+ -            679 5935                 -            172     0.066    9.8   2.8   1   3   0.00025      0.16    8.6   0.1   127   158   399   430   393   443 0.79 tig00000001_2111 # 2182728 # 2184764 # 1 # ID=1_2111;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.411
tig00000001:2182728-2184764|+ -            679 5935                 -            172     0.066    9.8   2.8   2   3       1.1   7.1e+02   -3.3   0.0    52    63   456   467   456   469 0.90 tig00000001_2111 # 2182728 # 2184764 # 1 # ID=1_2111;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.411
tig00000001:2182728-2184764|+ -            679 5935                 -            172     0.066    9.8   2.8   3   3      0.12        73   -0.1   0.1    54    74   473   493   471   499 0.87 tig00000001_2111 # 2182728 # 2184764 # 1 # ID=1_2111;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.411
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/archaea_odb12/hmms/5935at2157.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/auto_lineage/run_archaea_odb12/hmmer_output/5935at2157.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/archaea_odb12/hmms/5935at2157.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Mon Apr 20 03:11:44 2026
# [ok]
