#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:1379184-1381982|+ -            933 30823                -            882  2.2e-188  625.4   8.8   1   1  2.1e-190  1.3e-187  622.8   8.8     9   754    24   815    18   845 0.87 tig00000001_1302 # 1379184 # 1381982 # 1 # ID=1_1302;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.384
tig00000001:1608964-1611609|+ -            882 30823                -            882  5.6e-125  415.6   5.3   1   2   1.2e-39   7.2e-37  124.1   0.0     3   232    11   244     9   256 0.93 tig00000001_1540 # 1608964 # 1611609 # 1 # ID=1_1540;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.405
tig00000001:1608964-1611609|+ -            882 30823                -            882  5.6e-125  415.6   5.3   2   2     4e-90   2.5e-87  291.0   2.4   278   777   255   766   242   778 0.89 tig00000001_1540 # 1608964 # 1611609 # 1 # ID=1_1540;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.405
tig00000001:375042-377456|-   -            805 30823                -            882   6.1e-51  170.6  21.0   1   6   9.1e-24   5.7e-21   71.5   2.8     4   183     4   170     1   176 0.91 tig00000001_365 # 375042 # 377456 # -1 # ID=1_365;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
tig00000001:375042-377456|-   -            805 30823                -            882   6.1e-51  170.6  21.0   2   6   0.00013     0.082    8.1   0.1   367   414   177   223   172   230 0.88 tig00000001_365 # 375042 # 377456 # -1 # ID=1_365;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
tig00000001:375042-377456|-   -            805 30823                -            882   6.1e-51  170.6  21.0   3   6   1.9e-07   0.00012   17.5   0.1   196   333   231   371   224   381 0.73 tig00000001_365 # 375042 # 377456 # -1 # ID=1_365;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
tig00000001:375042-377456|-   -            805 30823                -            882   6.1e-51  170.6  21.0   4   6   5.7e-09   3.6e-06   22.5   1.1   401   448   397   444   375   452 0.73 tig00000001_365 # 375042 # 377456 # -1 # ID=1_365;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
tig00000001:375042-377456|-   -            805 30823                -            882   6.1e-51  170.6  21.0   5   6     1e-16   6.4e-14   48.1   0.3   508   656   544   686   503   691 0.78 tig00000001_365 # 375042 # 377456 # -1 # ID=1_365;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
tig00000001:375042-377456|-   -            805 30823                -            882   6.1e-51  170.6  21.0   6   6   0.00017      0.11    7.7   0.0   685   747   695   754   686   772 0.75 tig00000001_365 # 375042 # 377456 # -1 # ID=1_365;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
tig00000001:1529222-1531231|+ -            670 30823                -            882   3.1e-27   92.2   0.2   1   3   1.2e-11   7.4e-09   31.4   0.0    28    93     3    68     1    92 0.88 tig00000001_1469 # 1529222 # 1531231 # 1 # ID=1_1469;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.394
tig00000001:1529222-1531231|+ -            670 30823                -            882   3.1e-27   92.2   0.2   2   3   0.00052      0.33    6.1   0.0   370   431   161   227    97   229 0.78 tig00000001_1469 # 1529222 # 1531231 # 1 # ID=1_1469;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.394
